fold_id,pdf_name
2,Poisson2Sparse: Self-supervised Poisson Denoising from a Single Image
2,Transformer Lesion Tracker
2,Developmental Stage Classification of Embryos Using Two-Stream Neural Network with Linear-Chain Conditional Random Field
2,Text2Brain: Synthesis of Brain Activation Maps from Free-Form Text Query
2,LambdaUNet: 2.5D Stroke Lesion Segmentation of Diffusion-Weighted MR Images
2,Detection of Critical Structures in Laparoscopic Cholecystectomy Using Label Relaxation and Self-supervision
2,RibSeg Dataset and Strong Point Cloud Baselines for Rib Segmentation from CT Scans
2,Self Domain Adapted Network
2,Multi-organ Segmentation via Co-training Weight-Averaged Models from Few-Organ Datasets
2,T2 Mapping from Super-Resolution-Reconstructed Clinical Fast Spin Echo Magnetic Resonance Acquisitions
2,Ultrasound Video Summarization Using Deep Reinforcement Learning
2,Anatomical Data Augmentation via Fluid-Based Image Registration
2,Adversarial Uni- and Multi-modal Stream Networks for Multimodal Image Registration
2,Automatic Data Augmentation for 3D Medical Image Segmentation
2,DeepPrognosis: Preoperative Prediction of Pancreatic Cancer Survival and Surgical Margin via Contrast-Enhanced CT Imaging
2,Adaptive Image-Feature Learning for Disease Classification Using Inductive Graph Networks
2,Cephalometric Landmark Detection by Attentive Feature Pyramid Fusion and Regression-Voting
2,Automated Surgical Activity Recognition with One Labeled Sequence
2,Using 3D Convolutional Neural Networks to Learn Spatiotemporal Features for Automatic Surgical Gesture Recognition in Video
2,PRSNet: Part Relation and Selection Network for Bone Age Assessment
2,Disease Knowledge Transfer Across Neurodegenerative Diseases
2,SegNAS3D: Network Architecture Search with Derivative-Free Global Optimization for 3D Image Segmentation
2,Needle Tip Force Estimation Using an OCT Fiber and a Fused convGRU-CNN Architecture
2,Pulse Sequence Resilient Fast Brain Segmentation
2,Estimating Achilles Tendon Healing Progress with Convolutional Neural Networks
2,Y-Net: Joint Segmentation and Classification for Diagnosis of Breast Biopsy Images
2,Initialize Globally Before Acting Locally: Enabling Landmark-Free 3D US to MRI Registration
2,Inherent Brain Segmentation Quality Control from Fully ConvNet Monte Carlo Sampling
2,Group-Driven Reinforcement Learning for Personalized mHealth Intervention
2,Multi-label Inductive Matrix Completion for Joint MGMT and IDH1 Status Prediction for Glioma Patients
2,Unbiased Shape Compactness for Segmentation
2,Generalised Coherent Point Drift for Group-Wise Registration of Multi-dimensional Point Sets
2,Direct Detection of Pixel-Level Myocardial Infarction Areas via a Deep-Learning Algorithm
2,Full Quantification of Left Ventricle via Deep Multitask Learning Network Respecting Intra- and Inter-Task Relatedness
2,Hyperbolic Space Sparse Coding with Its Application on Prediction of Alzheimer’s Disease in Mild Cognitive Impairment
2,Joint Segmentation and CT Synthesis for MRI-only Radiotherapy Treatment Planning
2,Hierarchical Shape Distributions for Automatic Identification of 3D Diastolic Vortex Rings from 4D Flow MRI
2,Projection-Based Phase Features for Localization of a Needle Tip in 2D Curvilinear Ultrasound
2,Computational Sonography
2,Registration of Color and OCT Fundus Images Using Low-dimensional Step Pattern Analysis
2,Co-restoring Multimodal Microscopy Images
2,Cortical Surface-Based Construction of Individual Structural Network with Application to Early Brain Development Study
2,Automatic Graph-Based Localization of Cochlear Implant Electrodes in CT
2,Structured Decision Forests for Multi-modal Ultrasound Image Registration
2,Mobile C-arm 3D Reconstruction in the Presence of Uncertain Geometry
2,Learning the Correlation Between Images and Disease Labels Using Ambiguous Learning
2,Computer-Aided Infarction Identification from Cardiac CT Images: A Biomechanical Approach with SVM
2,Coupled Sparse Dictionary for Depth-Based Cup Segmentation from Single Color Fundus Image
2,A Novel Structure-Aware Sparse Learning Algorithm for Brain Imaging Genetics
2,Optimally Stabilized PET Image Denoising Using Trilateral Filtering
2,Topo-Geometric Filtration Scheme for Geometric Active Contours and Level Sets: Application to Cerebrovascular Segmentation
2,Augmented Reality Assisted Laparoscopic Partial Nephrectomy
2,Advanced Transcatheter Aortic Valve Implantation (TAVI) Planning from CT with ShapeForest
2,BrainPrint : Identifying Subjects by Their Brain
2,Gaussian Process Interpolation for Uncertainty Estimation in Image Registration
2,A Novel Multi-relation Regularization Method for Regression and Classification in AD Diagnosis
2,Combining Surface and Fiber Geometry: An Integrated Approach to Brain Morphology
2,Low-Rank Total Variation for Image Super-Resolution
2,Automated Segmentation of CBCT Image Using Spiral CT Atlases and Convex Optimization
2,Transformer-based out-of-distribution detection for clinically safe segmentation
2,FBNETGEN: Task-aware GNN-based fMRI Analysis via Functional Brain Network Generation
2,Discrete Pseudohealthy Synthesis: Aortic Root Shape Typification and Type Classification with Pathological Prior
2,4D Semantic Cardiac Magnetic Resonance Image Synthesis on XCAT Anatomical Model
2,Locating Cephalometric X-Ray Landmarks with Foveated Pyramid Attention
2,Deep Reinforcement Learning for Organ Localization in CT
2,SAU-Net: Efficient 3D Spine MRI Segmentation Using Inter-Slice Attention
3,Class Impression for Data-Free Incremental Learning
3,Learning Robust Representation for Joint Grading of Ophthalmic Diseases via Adaptive Curriculum and Feature Disentanglement
3,Fusing Modalities by Multiplexed Graph Neural Networks for Outcome Prediction in Tuberculosis
3,Learning Underrepresented Classes from Decentralized Partially Labeled Medical Images
3,Towards Confident Detection of Prostate Cancer Using High Resolution Micro-ultrasound
3,SUPER-IVIM-DC: Intra-voxel Incoherent Motion Based Fetal Lung Maturity Assessment from Limited DWI Data Using Supervised Learning Coupled with Data-Consistency
3,What Makes for Automatic Reconstruction of Pulmonary Segments
3,A Self-guided Framework for Radiology Report Generation
3,MUSCLE: Multi-task Self-supervised Continual Learning to Pre-train Deep Models for X-Ray Images of Multiple Body Parts
3,Landmark-Free Statistical Shape Modeling Via Neural Flow Deformations
3,Unsupervised Deformable Image Registration with Absent Correspondences in Pre-operative and Post-recurrence Brain Tumor MRI Scans
3,4D-OR: Semantic Scene Graphs for OR Domain Modeling
3,Noise2SR: Learning to Denoise from Super-Resolved Single Noisy Fluorescence Image
3,ChrSNet: Chromosome Straightening Using Self-attention Guided Networks
3,Data-Driven Mapping Between Functional Connectomes Using Optimal Transport
3,Lung Cancer Risk Estimation with Incomplete Data: A Joint Missing Imputation Perspective
3,Self-Supervised Lesion Change Detection and Localisation in Longitudinal Multiple Sclerosis Brain Imaging
3,Uncertainty-Guided Progressive GANs for Medical Image Translation
3,Medical Matting: A New Perspective on Medical Segmentation with Uncertainty
3,Non-invasive Assessment of Hepatic Venous Pressure Gradient (HVPG) Based on MR Flow Imaging and Computational Fluid Dynamics
3,Categorical Relation-Preserving Contrastive Knowledge Distillation for Medical Image Classification
3,Continual Learning with Bayesian Model Based on a Fixed Pre-trained Feature Extractor
3,Anatomy-Constrained Contrastive Learning for Synthetic Segmentation Without Ground-Truth
3,Self-supervised Discovery of Anatomical Shape Landmarks
3,Automated Intracranial Artery Labeling Using a Graph Neural Network and Hierarchical Refinement
3,Estimating Tissue Microstructure with Undersampled Diffusion Data via Graph Convolutional Neural Networks
3,Learning and Reasoning with the Graph Structure Representation in Robotic Surgery
3,Interpretation of Disease Evidence for Medical Images Using Adversarial Deformation Fields
3,Joint Left Atrial Segmentation and Scar Quantification Based on a DNN with Spatial Encoding and Shape Attention
3,Scientific Discovery by Generating Counterfactuals Using Image Translation
3,Prostate Motion Modelling Using Biomechanically-Trained Deep Neural Networks on Unstructured Nodes
3,Difficulty-Aware Glaucoma Classification with Multi-rater Consensus Modeling
3,Deep Learning Within a Priori Temporal Feature Spaces for Large-Scale Dynamic MR Image Reconstruction: Application to 5-D Cardiac MR Multitasking
3,Fast and Scalable Optimal Transport for Brain Tractograms
3,X-Net: Brain Stroke Lesion Segmentation Based on Depthwise Separable Convolution and Long-Range Dependencies
3,Decompose-and-Integrate Learning for Multi-class Segmentation in Medical Images
3,Towards Whole Placenta Segmentation at Late Gestation Using Multi-view Ultrasound Images
3,SPNet: Shape Prediction Using a Fully Convolutional Neural Network
3,Unsupervised Domain Adaptation for Automatic Estimation of Cardiothoracic Ratio
3,Adversarial Similarity Network for Evaluating Image Alignment in Deep Learning Based Registration
3,Weakly Supervised Representation Learning for Endomicroscopy Image Analysis
3,Dynamic Field Mapping and Motion Correction Using Interleaved Double Spin-Echo Diffusion MRI
3,Maximum Mean Discrepancy Based Multiple Kernel Learning for Incomplete Multimodality Neuroimaging Data
3,Scalable Unsupervised Domain Adaptation for Electron Microscopy
3,Learning-Based Multimodal Image Registration for Prostate Cancer Radiation Therapy
3,Longitudinal Analysis of the Preterm Cortex Using Multi-modal Spectral Matching
3,Spatiotemporal Parsing of Motor Kinematics for Assessing Stroke Recovery
3,Positive Delta Detection for Alpha Shape Segmentation of 3D Ultrasound Images of Pathologic Kidneys
3,Elucidating Intravoxel Geometry in Diffusion-MRI: Asymmetric Orientation Distribution Functions (AODFs) Revealed by a Cone Model
3,Segmentation of Infant Hippocampus Using Common Feature Representations Learned for Multimodal Longitudinal Data
3,Sparse Bayesian Inference of White Matter Fiber Orientations from Compressed Multi-resolution Diffusion MRI
3,V–Bundles: Clustering Fiber Trajectories from Diffusion MRI in Linear Time
3,Simultaneous Denoising and Registration for Accurate Cardiac Diffusion Tensor Reconstruction from MRI
3,Interventional Photoacoustic Imaging of the Human Placenta with Ultrasonic Tracking for Minimally Invasive Fetal Surgeries
3,Semantic 3-D Labeling of Ear Implants Using a Global Parametric Transition Prior
3,Modeling the Variability in Brain Morphology and Lesion Distribution in Multiple Sclerosis by Deep Learning
3,Sparse Bayesian Registration
3,Registering Cortical Surfaces Based on Whole-Brain Structural Connectivity and Continuous Connectivity Analysis
3,Constructing 4D Infant Cortical Surface Atlases Based on Dynamic Developmental Trajectories of the Cortex
3,Semi-automated Query Construction for Content-Based Endomicroscopy Video Retrieval
3,Efficient Total Variation Algorithm for Fetal Brain MRI Reconstruction
3,Fisher Kernel Based Task Boundary Retrieval in Laparoscopic Database with Single Video Query
3,IntellEditS: Intelligent Learning-Based Editor of Segmentations
3,Studying Cerebral Vasculature Using Structure Proximity and Graph Kernels
3,Enhancing the Reproducibility of Group Analysis with Randomized Brain Parcellations
3,Abdominal Multi-organ CT Segmentation Using Organ Correlation Graph and Prediction-Based Shape and Location Priors
3,A Bayesian Approach for Spatially Adaptive Regularisation in Non-rigid Registration
3,Surgical Gesture Segmentation and Recognition
3,Groupwise Segmentation with Multi-atlas Joint Label Fusion
3,Robust Selection-Based Sparse Shape Model for Lung Cancer Image Segmentation
3,DIVA: Domain Invariant Variational Autoencoders
3,Skull R-CNN: A CNN-based network for the skull fracture detection
3,A Heteroscedastic Uncertainty Model for Decoupling Sources of MRI Image Quality
3,Beyond Classification: Whole Slide Tissue Histopathology Analysis By End-To-End Part Learning
3,AnatomyGen: Deep Anatomy Generation From Dense Representation With Applications in Mandible Synthesis
3,Sparse Structured Prediction for Semantic Edge Detection in Medical Images
3,Joint Learning of Brain Lesion and Anatomy Segmentation from Heterogeneous Datasets
4,Towards Frugal Unsupervised Detection of Subtle Abnormalities in Medical Imaging
4,CXR-CLIP: Toward Large Scale Chest X-ray Language-Image Pre-training
4,From Images to Probabilistic Anatomical Shapes: A Deep Variational Bottleneck Approach
4,Unified Embeddings of Structural and Functional Connectome via a Function-Constrained Structural Graph Variational Auto-Encoder
4,Flexible Sampling for Long-Tailed Skin Lesion Classification
4,Sample Hardness Based Gradient Loss for Long-Tailed Cervical Cell Detection
4,PRO-TIP: Phantom for RObust Automatic Ultrasound Calibration by TIP Detection
4,Building Brains: Subvolume Recombination for Data Augmentation in Large Vessel Occlusion Detection
4,Federated Stain Normalization for Computational Pathology
4,Transfer Learning of Deep Spatiotemporal Networks to Model Arbitrarily Long Videos of Seizures
4,Parallel Capsule Networks for Classification of White Blood Cells
4,Scale-Space Autoencoders for Unsupervised Anomaly Segmentation in Brain MRI
4,Domain Adaptive Relational Reasoning for 3D Multi-organ Segmentation
4,Grading Loss: A Fracture Grade-Based Metric Loss for Vertebral Fracture Detection
4,UXNet: Searching Multi-level Feature Aggregation for 3D Medical Image Segmentation
4,TopNet: Topology Preserving Metric Learning for Vessel Tree Reconstruction and Labelling
4,Automated Detection of Cortical Lesions in Multiple Sclerosis Patients with 7T MRI
4,Miss the Point: Targeted Adversarial Attack on Multiple Landmark Detection
4,Surface-Volume Consistent Construction of Longitudinal Atlases for the Early Developing Brain
4,Radiologist-Level Stroke Classification on Non-contrast CT Scans with Deep U-Net
4,Model-Based Convolutional De-Aliasing Network Learning for Parallel MR Imaging
4,Adversarial Policy Gradient for Deep Learning Image Augmentation
4,Incorporating Temporal Prior from Motion Flow for Instrument Segmentation in Minimally Invasive Surgery Video
4,Curriculum Semi-supervised Segmentation
4,Generative Adversarial Network for Segmentation of Motion Affected Neonatal Brain MRI
4,Adversarial Regression Training for Visualizing the Progression of Chronic Obstructive Pulmonary Disease with Chest X-Rays
4,CFEA: Collaborative Feature Ensembling Adaptation for Domain Adaptation in Unsupervised Optic Disc and Cup Segmentation
4,Generating Large Labeled Data Sets for Laparoscopic Image Processing Tasks Using Unpaired Image-to-Image Translation
4,CLCI-Net: Cross-Level Fusion and Context Inference Networks for Lesion Segmentation of Chronic Stroke
4,Missing Slice Imputation in Population CMR Imaging via Conditional Generative Adversarial Nets
4,Variational AutoEncoder for Regression: Application to Brain Aging Analysis
4,An Attention-Guided Deep Regression Model for Landmark Detection in Cephalograms
4,Iterative Attention Mining for Weakly Supervised Thoracic Disease Pattern Localization in Chest X-Rays
4,Efficient and Accurate MRI Super-Resolution Using a Generative Adversarial Network and 3D Multi-level Densely Connected Network
4,An Open Framework Enabling Electromagnetic Tracking in Image-Guided Interventions
4,Tumor-Aware Adversarial Domain Adaptation from CT to MRI for Lung Cancer Segmentation
4,A Lifelong Learning Approach to Brain MR Segmentation Across Scanners and Protocols
4,Deep Reinforcement Learning for Surgical Gesture Segmentation and Classification
4,Learn the New Keep the Old: Extending Pretrained Models with New Anatomy and Images
4,Endoscopic Navigation in the Absence of CT Imaging
4,Low-Rank Representation for Multi-center Autism Spectrum Disorder Identification
4,Pathological OCT Retinal Layer Segmentation Using Branch Residual U-Shape Networks
4,DOTE: Dual cOnvolutional filTer lEarning for Super-Resolution and Cross-Modality Synthesis in MRI
4,A Comparative Study of Breast Surface Reconstruction for Aesthetic Outcome Assessment
4,Longitudinal Analysis Using Personalised 3D Cardiac Models with Population-Based Priors: Application to Paediatric Cardiomyopathies
4,Spectral Graph Convolutions for Population-Based Disease Prediction
4,Learn to Track: Deep Learning for Tractography
4,Zoom-in-Net: Deep Mining Lesions for Diabetic Retinopathy Detection
4,A Deep Metric for Multimodal Registration
4,Deep Learning and Structured Prediction for the Segmentation of Mass in Mammograms
4,A Cross Saliency Approach to Asymmetry-Based Tumor Detection
4,Interpolation and Averaging of Multi-Compartment Model Images
4,Database-Based Estimation of Liver Deformation under Pneumoperitoneum for Surgical Image-Guidance and Simulation
4,Dempster-Shafer Theory Based Feature Selection with Sparse Constraint for Outcome Prediction in Cancer Therapy
4,Non-local Atlas-guided Multi-channel Forest Learning for Human Brain Labeling
4,Robust Segmentation of Various Anatomies in 3D Ultrasound Using Hough Forests and Learned Data Representations
4,Prospective Identification of CRT Super Responders Using a Motion Atlas and Random Projection Ensemble Learning
