doi,title,venue
10.1007/978-3-031-43996-4_7,Revisiting Distillation for Continual Learning on Visual Question Localized-Answering in Robotic Surgery,MICCAI
10.1007/978-3-031-43996-4_38,CAT-ViL: Co-attention Gated Vision-Language Embedding for Visual Question Localized-Answering in Robotic Surgery,MICCAI
10.1007/978-3-031-43895-0_2,SLPT: Selective Labeling Meets Prompt Tuning on Label-Limited Lesion Segmentation,MICCAI
10.1007/978-3-031-43993-3_28,Community-Aware Transformer for Autism Prediction in fMRI Connectome,MICCAI
10.1007/978-3-031-43907-0_56,Tracking Adaptation to Improve SuperPoint for 3D Reconstruction in Endoscopy,MICCAI
10.1007/978-3-031-43901-8_25,Semi-supervised Domain Adaptive Medical Image Segmentation Through Consistency Regularized Disentangled Contrastive Learning,MICCAI
10.1007/978-3-031-43999-5_44,S3M: Scalable Statistical Shape Modeling Through Unsupervised Correspondences,MICCAI
10.1007/978-3-031-43996-4_6,SegmentOR: Obtaining Efficient Operating Room Semantics Through Temporal Propagation,MICCAI
10.1007/978-3-031-43907-0_20,Gall Bladder Cancer Detection from US Images with only Image Level Labels,MICCAI
10.1007/978-3-031-43999-5_48,LightNeuS: Neural Surface Reconstruction in Endoscopy Using Illumination Decline,MICCAI
10.1007/978-3-031-43907-0_16,Many Tasks Make Light Work: Learning to Localise Medical Anomalies from Multiple Synthetic Tasks,MICCAI
10.1007/978-3-031-43895-0_50,Multi-objective Point Cloud Autoencoders for Explainable Myocardial Infarction Prediction,MICCAI
10.1007/978-3-031-43907-0_28,Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,MICCAI
10.1007/978-3-031-43999-5_9,Noise Conditioned Weight Modulation for Robust and Generalizable Low Dose CT Denoising,MICCAI
10.1007/978-3-031-43901-8_49,Memory Replay for Continual Medical Image Segmentation Through Atypical Sample Selection,MICCAI
10.1007/978-3-031-43904-9_30,What Do AEs Learn? Challenging Common Assumptions in Unsupervised Anomaly Detection,MICCAI
10.1007/978-3-031-43904-9_29,Reversing the Abnormal: Pseudo-Healthy Generative Networks for Anomaly Detection,MICCAI
10.1007/978-3-031-43901-8_13,MI-SegNet: Mutual Information-Based US Segmentation for Unseen Domain Generalization,MICCAI
10.1007/978-3-031-43999-5_63,A Denoised Mean Teacher for Domain Adaptive Point Cloud Registration,MICCAI
10.1007/978-3-031-43999-5_64,Unsupervised 3D Registration Through Optimization-Guided Cyclical Self-training,MICCAI
10.1007/978-3-031-43993-3_19,Multimodal Brain Age Estimation Using Interpretable Adaptive Population-Graph Learning,MICCAI
10.1007/978-3-031-43901-8_14,M-GenSeg: Domain Adaptation for Target Modality Tumor Segmentation with Annotation-Efficient Supervision,MICCAI
10.1007/978-3-031-43907-0_24,DAS-MIL: Distilling Across Scales for MIL Classification of Histological WSIs,MICCAI
10.1007/978-3-031-43907-0_19,AMAE: Adaptation of Pre-trained Masked Autoencoder for Dual-Distribution Anomaly Detection in Chest X-Rays,MICCAI
10.1007/978-3-031-43898-1_50,Joint Dense-Point Representation for Contour-Aware Graph Segmentation,MICCAI
10.1007/978-3-031-43996-4_63,Deep Reinforcement Learning Based System for Intraoperative Hyperspectral Video Autofocusing,MICCAI
10.1007/978-3-031-43898-1_39,Understanding Silent Failures in Medical Image Classification,MICCAI
10.1007/978-3-031-43996-4_46,Robust Vertebra Identification Using Simultaneous Node and Edge Predicting Graph Neural Networks,MICCAI
10.1007/978-3-031-43999-5_61,Implicit Neural Representations for Joint Decomposition and Registration of Gene Expression Images in the Marmoset Brain,MICCAI
10.1007/978-3-031-43999-5_66,X2Vision: 3D CT Reconstruction from Biplanar X-Rays with Deep Structure Prior,MICCAI
10.1007/978-3-031-43898-1_59,3D Medical Image Segmentation with Sparse Annotation via Cross-Teaching Between 3D and 2D Networks,MICCAI
10.1007/978-3-031-43987-2_23,Progressive Attention Guidance for Whole Slide Vulvovaginal Candidiasis Screening,MICCAI
10.1007/978-3-031-43904-9_23,Discovering Brain Network Dysfunction in Alzheimer&apos;s Disease Using Brain Hypergraph Neural Network,MICCAI
10.1007/978-3-031-43987-2_24,Detection-Free Pipeline for Cervical Cancer Screening of Whole Slide Images,MICCAI
10.1007/978-3-031-43993-3_46,A Texture Neural Network to Predict the Abnormal Brachial Plexus from Routine Magnetic Resonance Imaging,MICCAI
10.1007/978-3-031-43987-2_16,Thinking Like Sonographers: A Deep CNN Model for Diagnosing Gout from Musculoskeletal Ultrasound,MICCAI
10.1007/978-3-031-43904-9_37,COVID-19 Pneumonia Classification with Transformer from Incomplete Modalities,MICCAI
10.1007/978-3-031-43990-2_26,FEDD - Fair Efficient and Diverse Diffusion-Based Lesion Segmentation and Malignancy Classification,MICCAI
10.1007/978-3-031-43990-2_21,Virtual Heart Models Help Elucidate the Role of Border Zone in Sustained Monomorphic Ventricular Tachycardia,MICCAI
10.1007/978-3-031-43990-2_67,A Modulatory Elongated Model for Delineating Retinal Microvasculature in OCTA Images,MICCAI
10.1007/978-3-031-43904-9_42,Towards Generalizable Diabetic Retinopathy Grading in Unseen Domains,MICCAI
10.1007/978-3-031-43987-2_14,A Semantic-Guided and Knowledge-Based Generative Framework for Orthodontic Visual Outcome Preview,MICCAI
10.1007/978-3-031-43898-1_5,Federated Condition Generalization on Low-dose CT Reconstruction via Cross-domain Learning,MICCAI
10.1007/978-3-031-43987-2_57,DARC: Distribution-Aware Re-Coloring Model for Generalizable Nucleus Segmentation,MICCAI
10.1007/978-3-031-43987-2_29,Interpretable Deep Biomarker for Serial Monitoring of Carotid Atherosclerosis Based on Three-Dimensional Ultrasound Imaging,MICCAI
10.1007/978-3-031-43907-0_53,Decoupled Consistency for Semi-supervised Medical Image Segmentation,MICCAI
10.1007/978-3-031-43898-1_16,Co-assistant Networks for Label Correction,MICCAI
10.1007/978-3-031-43996-4_3,Surgical Video Captioning with Mutual-Modal Concept Alignment,MICCAI
10.1007/978-3-031-43999-5_34,ASCON: Anatomy-Aware Supervised Contrastive Learning Framework for Low-Dose CT Denoising,MICCAI
10.1007/978-3-031-43904-9_45,GSDG: Exploring a Global Semantic-Guided Dual-Stream Graph Model for Automated Volume Differential Diagnosis and Prognosis,MICCAI
10.1007/978-3-031-43996-4_43,Surgical Activity Triplet Recognition via Triplet Disentanglement,MICCAI
10.1007/978-3-031-43907-0_17,AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,MICCAI
10.1007/978-3-031-43907-0_39,Knowledge Boosting: Rethinking Medical Contrastive Vision-Language Pre-training,MICCAI
10.1007/978-3-031-43895-0_30,FedSoup: Improving Generalization and Personalization in Federated Learning via Selective Model Interpolation,MICCAI
10.1007/978-3-031-43907-0_67,MetaLR: Meta-tuning of Learning Rates for Transfer Learning in Medical Imaging,MICCAI
10.1007/978-3-031-43993-3_58,Unsupervised Learning for Feature Extraction and Temporal Alignment of 3D+t Point Clouds of Zebrafish Embryos,MICCAI
10.1007/978-3-031-43993-3_6,Learnable Subdivision Graph Neural Network for Functional Brain Network Analysis and Interpretable Cognitive Disorder Diagnosis,MICCAI
10.1007/978-3-031-43987-2_65,Label-Free Nuclei Segmentation Using Intra-Image Self Similarity,MICCAI
10.1007/978-3-031-43999-5_26,MRIS: A Multi-modal Retrieval Approach for Image Synthesis on Diverse Modalities,MICCAI
10.1007/978-3-031-43901-8_9,Treasure in Distribution: A Domain Randomization Based Multi-source Domain Generalization for 2D Medical Image Segmentation,MICCAI
10.1007/978-3-031-43901-8_47,BerDiff: Conditional Bernoulli Diffusion Model for Medical Image Segmentation,MICCAI
10.1007/978-3-031-43907-0_54,Combating Medical Label Noise via Robust Semi-supervised Contrastive Learning,MICCAI
10.1007/978-3-031-43993-3_7,FE-STGNN: Spatio-Temporal Graph Neural Network with Functional and Effective Connectivity Fusion for MCI Diagnosis,MICCAI
10.1007/978-3-031-43999-5_19,Computationally Efficient 3D MRI Reconstruction with Adaptive MLP,MICCAI
10.1007/978-3-031-43993-3_37,SurfFlow: A Flow-Based Approach for Rapid and Accurate Cortical Surface Reconstruction from Infant Brain MRI,MICCAI
10.1007/978-3-031-43901-8_16,RBGNet: Reliable Boundary-Guided Segmentation of Choroidal Neovascularization,MICCAI
10.1007/978-3-031-43993-3_54,Exploring Unsupervised Cell Recognition with Prior Self-activation Maps,MICCAI
10.1007/978-3-031-43990-2_5,Geometry-Adaptive Network for Robust Detection of Placenta Accreta Spectrum Disorders,MICCAI
10.1007/978-3-031-43990-2_35,Medical Phrase Grounding with Region-Phrase Context Contrastive Alignment,MICCAI
10.1007/978-3-031-43904-9_48,Contrastive Masked Image-Text Modeling for Medical Visual Representation Learning,MICCAI
10.1007/978-3-031-43987-2_7,SegNetr: Rethinking the Local-Global Interactions and Skip Connections in U-Shaped Networks,MICCAI
10.1007/978-3-031-43990-2_63,Lesion-Aware Contrastive Learning for Diabetic Retinopathy Diagnosis,MICCAI
10.1007/978-3-031-43895-0_58,Prediction of Infant Cognitive Development with Cortical Surface-Based Multimodal Learning,MICCAI
10.1007/978-3-031-43999-5_10,Low-Dose CT Image Super-Resolution Network with Dual-Guidance Feature Distillation and Dual-Path Content Communication,MICCAI
10.1007/978-3-031-43898-1_10,Toward Fairness Through Fair Multi-Exit Framework for Dermatological Disease Diagnosis,MICCAI
10.1007/978-3-031-43901-8_53,Anti-adversarial Consistency Regularization for Data Augmentation: Applications to Robust Medical Image Segmentation,MICCAI
10.1007/978-3-031-43907-0_44,Improved Multi-shot Diffusion-Weighted MRI with Zero-Shot Self-supervised Learning Reconstruction,MICCAI
10.1007/978-3-031-43895-0_73,Mixing Temporal Graphs with MLP for Longitudinal Brain Connectome Analysis,MICCAI
10.1007/978-3-031-43993-3_63,LUCYD: A Feature-Driven Richardson-Lucy Deconvolution Network,MICCAI
10.1007/978-3-031-43999-5_33,CT Kernel Conversion Using Multi-domain Image-to-Image Translation with Generator-Guided Contrastive Learning,MICCAI
10.1007/978-3-031-43895-0_35,Reconstructing the Hemodynamic Response Function via a Bimodal Transformer,MICCAI
10.1007/978-3-031-43901-8_59,Diffusion Transformer U-Net for Medical Image Segmentation,MICCAI
10.1007/978-3-031-43999-5_25,Topology-Preserving Computed Tomography Super-Resolution Based on Dual-Stream Diffusion Model,MICCAI
10.1007/978-3-031-43996-4_9,Rectifying Noisy Labels with Sequential Prior: Multi-scale Temporal Feature Affinity Learning for Robust Video Segmentation,MICCAI
10.1007/978-3-031-43999-5_18,TriDo-Former: A Triple-Domain Transformer for Direct PET Reconstruction from Low-Dose Sinograms,MICCAI
10.1007/978-3-031-43999-5_54,CycleSTTN: A Learning-Based Temporal Model for Specular Augmentation in Endoscopy,MICCAI
10.1007/978-3-031-43904-9_51,Recruiting the Best Teacher Modality: A Customized Knowledge Distillation Method for if Based Nephropathy Diagnosis,MICCAI
10.1007/978-3-031-43990-2_15,Radiomics-Informed Deep Learning for Classification of Atrial Fibrillation Sub-Types from Left-Atrium CT Volumes,MICCAI
10.1007/978-3-031-43895-0_25,Efficient Subclass Segmentation in Medical Images,MICCAI
10.1007/978-3-031-43898-1_7,Enhance Early Diagnosis Accuracy of Alzheimer&apos;s Disease by Elucidating Interactions Between Amyloid Cascade and Tau Propagation,MICCAI
10.1007/978-3-031-43898-1_8,TauFlowNet: Uncovering Propagation Mechanism of Tau Aggregates by Neural Transport Equation,MICCAI
10.1007/978-3-031-43898-1_9,Uncovering Structural-Functional Coupling Alterations for Neurodegenerative Diseases,MICCAI
10.1007/978-3-031-43996-4_45,A Multi-task Network for Anatomy Identification in Endoscopic Pituitary Surgery,MICCAI
10.1007/978-3-031-43898-1_29,Assignment Theory-Augmented Neural Network for Dental Arch Labeling,MICCAI
10.1007/978-3-031-43993-3_8,Learning Normal Asymmetry Representations for Homologous Brain Structures,MICCAI
10.1007/978-3-031-43996-4_65,ConTrack: Contextual Transformer for Device Tracking in X-Ray,MICCAI
10.1007/978-3-031-43898-1_12,Scale Federated Learning for Label Set Mismatch in Medical Image Classification,MICCAI
10.1007/978-3-031-43987-2_48,Democratizing Pathological Image Segmentation with Lay Annotators via Molecular-Empowered Learning,MICCAI
10.1007/978-3-031-43895-0_16,FedGrav: An Adaptive Federated Aggregation Algorithm for Multi-institutional Medical Image Segmentation,MICCAI
10.1007/978-3-031-43990-2_17,ModusGraph: Automated 3D and 4D Mesh Model Reconstruction from Cine CMR with Improved Accuracy and Efficiency,MICCAI
10.1007/978-3-031-43901-8_34,Shape-Aware 3D Small Vessel Segmentation with Local Contrast Guided Attention,MICCAI
10.1007/978-3-031-43987-2_34,AR2T: Advanced Realistic Rendering Technique for Biomedical Volumes,MICCAI
10.1007/978-3-031-43987-2_28,STAR-Echo: A Novel Biomarker for Prognosis of MACE in Chronic Kidney Disease Patients Using Spatiotemporal Analysis and Transformer-Based Radiomics Models,MICCAI
10.1007/978-3-031-43996-4_70,Learnable Query Initialization for Surgical Instrument Instance Segmentation,MICCAI
10.1007/978-3-031-43999-5_68,An Unsupervised Multispectral Image Registration Network for Skin Diseases,MICCAI
10.1007/978-3-031-43904-9_63,Unsupervised Classification of Congenital Inner Ear Malformations Using DeepDiffusion for Latent Space Representation,MICCAI
10.1007/978-3-031-43907-0_14,3D Arterial Segmentation via Single 2D Projections and Depth Supervision in Contrast-Enhanced CT Images,MICCAI
10.1007/978-3-031-43987-2_58,Multi-scale Prototypical Transformer for Whole Slide Image Classification,MICCAI
10.1007/978-3-031-43996-4_4,SEDSkill: Surgical Events Driven Method for Skill Assessment from Thoracoscopic Surgical Videos,MICCAI
10.1007/978-3-031-43987-2_60,Pathology-and-Genomics Multimodal Transformer for Survival Outcome Prediction,MICCAI
10.1007/978-3-031-43999-5_17,Learned Alternating Minimization Algorithm for Dual-Domain Sparse-View CT Reconstruction,MICCAI
10.1007/978-3-031-43904-9_34,Beyond the Snapshot: Brain Tokenized Graph Transformer for Longitudinal Brain Functional Connectome Embedding,MICCAI
10.1007/978-3-031-43904-9_24,Improved Prognostic Prediction of Pancreatic Cancer Using Multi-phase CT by Integrating Neural Distance and Texture-Aware Transformer,MICCAI
10.1007/978-3-031-43999-5_43,Unified Brain MR-Ultrasound Synthesis Using Multi-modal Hierarchical Representations,MICCAI
10.1007/978-3-031-43999-5_58,GSMorph: Gradient Surgery for Cine-MRI Cardiac Deformable Registration,MICCAI
10.1007/978-3-031-43990-2_14,A Conditional Flow Variational Autoencoder for Controllable Synthesis of Virtual Populations of Anatomy,MICCAI
10.1007/978-3-031-43907-0_73,Unsupervised Domain Transfer with Conditional Invertible Neural Networks,MICCAI
10.1007/978-3-031-43901-8_43,MDViT: Multi-domain Vision Transformer for Small Medical Image Segmentation Datasets,MICCAI
10.1007/978-3-031-43895-0_32,ArSDM: Colonoscopy Images Synthesis with Adaptive Refinement Semantic Diffusion Models,MICCAI
10.1007/978-3-031-43990-2_43,3D Dental Mesh Segmentation Using Semantics-Based Feature Learning with Graph-Transformer,MICCAI
10.1007/978-3-031-43990-2_32,Simulation-Based Parameter Optimization for Fetal Brain MRI Super-Resolution Reconstruction,MICCAI
10.1007/978-3-031-43904-9_46,Improving Image-Based Precision Medicine with Uncertainty-Aware Causal Models,MICCAI
10.1007/978-3-031-43996-4_36,A Unified Deep-Learning-Based Framework for Cochlear Implant Electrode Array Localization,MICCAI
10.1007/978-3-031-43990-2_70,UWAT-GAN: Fundus Fluorescein Angiography Synthesis via Ultra-Wide-Angle Transformation Multi-scale GAN,MICCAI
10.1007/978-3-031-43996-4_18,Soft-Tissue Driven Craniomaxillofacial Surgical Planning,MICCAI
10.1007/978-3-031-43993-3_32,Path-Based Heterogeneous Brain Transformer Network for Resting-State Functional Connectivity Analysis,MICCAI
10.1007/978-3-031-43987-2_63,Robust Cervical Abnormal Cell Detection via Distillation from Local-Scale Consistency Refinement,MICCAI
10.1007/978-3-031-43907-0_7,VesselVAE: Recursive Variational Autoencoders for 3D Blood Vessel Synthesis,MICCAI
10.1007/978-3-031-43907-0_13,Multi-modal Semi-supervised Evidential Recycle Framework for Alzheimer&apos;s Disease Classification,MICCAI
10.1007/978-3-031-43987-2_3,Towards Novel Class Discovery: A Study in Novel Skin Lesions Clustering,MICCAI
10.1007/978-3-031-43987-2_19,DiffDP: Radiotherapy Dose Prediction via a Diffusion Model,MICCAI
10.1007/978-3-031-43907-0_57,Structured State Space Models for Multiple Instance Learning in Digital Pathology,MICCAI
10.1007/978-3-031-43904-9_58,A Multimodal Disease Progression Model for Genetic Associations with Disease Dynamics,MICCAI
10.1007/978-3-031-43996-4_11,Point Cloud Diffusion Models for Automatic Implant Generation,MICCAI
10.1007/978-3-031-43996-4_34,Synthesising Rare Cataract Surgery Samples with Guided Diffusion Models,MICCAI
10.1007/978-3-031-43898-1_30,Evidence Reconciled Neural Network for Out-of-Distribution Detection in Medical Images,MICCAI
10.1007/978-3-031-43990-2_30,UM-CAM: Uncertainty-weighted Multi-resolution Class Activation Maps for Weakly-supervised Fetal Brain Segmentation,MICCAI
10.1007/978-3-031-43987-2_46,MixUp-MIL: Novel Data Augmentation for Multiple Instance Learning and a Study on Thyroid Cancer Diagnosis,MICCAI
10.1007/978-3-031-43898-1_35,Performance Metrics for Probabilistic Ordinal Classifiers,MICCAI
10.1007/978-3-031-43898-1_11,Multi-Head Multi-Loss Model Calibration,MICCAI
10.1007/978-3-031-43895-0_41,Interpretable Medical Image Classification Using Prototype Learning and Privileged Information,MICCAI
10.1007/978-3-031-43993-3_52,Self-supervised Dense Representation Learning for Live-Cell Microscopy with Time Arrow Prediction,MICCAI
10.1007/978-3-031-43904-9_18,A Reliable and Interpretable Framework of Multi-view Learning for Liver Fibrosis Staging,MICCAI
10.1007/978-3-031-43907-0_10,Correlation-Aware Mutual Learning for Semi-supervised Medical Image Segmentation,MICCAI
10.1007/978-3-031-43895-0_27,Prediction of Cognitive Scores by Joint Use of Movie-Watching fMRI Connectivity and Eye Tracking via Attention-CensNet,MICCAI
10.1007/978-3-031-43993-3_34,Predicting Diverse Functional Connectivity from Structural Connectivity Based on Multi-contexts Discriminator GAN,MICCAI
10.1007/978-3-031-43999-5_39,JCCS-PFGM: A Novel Circle-Supervision Based Poisson Flow Generative Model for Multiphase CECT Progressive Low-Dose Reconstruction with Joint Condition,MICCAI
10.1007/978-3-031-43987-2_68,An AI-Ready Multiplex Staining Dataset for Reproducible and Accurate Characterization of Tumor Immune Microenvironment,MICCAI
10.1007/978-3-031-43907-0_32,Domain Adaptation for Medical Image Segmentation Using Transformation-Invariant Self-training,MICCAI
10.1007/978-3-031-43895-0_59,Distilling BlackBox to Interpretable Models for Efficient Transfer Learning,MICCAI
10.1007/978-3-031-43987-2_75,Deep Cellular Embeddings: An Explainable Plug and Play Improvement for Feature Representation in Histopathology,MICCAI
10.1007/978-3-031-43898-1_38,Deployment of Image Analysis Algorithms Under Prevalence Shifts,MICCAI
10.1007/978-3-031-43901-8_74,Ischemic Stroke Segmentation from a Cross-Domain Representation in Multimodal Diffusion Studies,MICCAI
10.1007/978-3-031-43907-0_58,vox2vec: A Framework for Self-supervised Contrastive Learning of Voxel-Level Representations in Medical Images,MICCAI
10.1007/978-3-031-43898-1_68,Robust T-Loss for Medical Image Segmentation,MICCAI
10.1007/978-3-031-43993-3_4,Cortical Analysis of Heterogeneous Clinical Brain MRI Scans for Large-Scale Neuroimaging Studies,MICCAI
10.1007/978-3-031-43907-0_43,Unsupervised 3D Out-of-Distribution Detection with Latent Diffusion Models,MICCAI
10.1007/978-3-031-43999-5_65,Inverse Consistency by Construction for Multistep Deep Registration,MICCAI
10.1007/978-3-031-43990-2_33,TabAttention: Learning Attention Conditionally on Tabular Data,MICCAI
10.1007/978-3-031-43990-2_47,MSKdeX: Musculoskeletal (MSK) Decomposition from an X-Ray Image for Fine-Grained Estimation of Lean Muscle Mass and Muscle Volume,MICCAI
10.1007/978-3-031-43898-1_58,Unpaired Cross-Modal Interaction Learning for COVID-19 Segmentation on Limited CT Images,MICCAI
10.1007/978-3-031-43996-4_55,Analysis of Suture Force Simulations for Optimal Orientation of Rhomboid Skin Flaps,MICCAI
10.1007/978-3-031-43904-9_28,Multiple Prompt Fusion for Zero-Shot Lesion Detection Using Vision-Language Models,MICCAI
10.1007/978-3-031-43987-2_73,HIGT: Hierarchical Interaction Graph-Transformer for Whole Slide Image Analysis,MICCAI
10.1007/978-3-031-43898-1_15,How Reliable are the Metrics Used for Assessing Reliability in Medical Imaging?,MICCAI
10.1007/978-3-031-43999-5_29,Trackerless Volume Reconstruction from Intraoperative Ultrasound Images,MICCAI
10.1007/978-3-031-43996-4_28,Intraoperative CT Augmentation for Needle-Based Liver Interventions,MICCAI
10.1007/978-3-031-43999-5_21,Geometric Ultrasound Localization Microscopy,MICCAI
10.1007/978-3-031-43987-2_38,Diffusion-Based Hierarchical Multi-label Object Detection to Analyze Panoramic Dental X-Rays,MICCAI
10.1007/978-3-031-43990-2_4,Scribble-Based 3D Multiple Abdominal Organ Segmentation via Triple-Branch Multi-Dilated Network with Pixel- and Class-Wise Consistency,MICCAI
10.1007/978-3-031-43987-2_17,Thyroid Nodule Diagnosis in Dynamic Contrast-Enhanced Ultrasound via Microvessel Infiltration Awareness,MICCAI
10.1007/978-3-031-43999-5_23,Contrastive Diffusion Model with Auxiliary Guidance for Coarse-to-Fine PET Reconstruction,MICCAI
10.1007/978-3-031-43907-0_72,MedGen3D: A Deep Generative Framework for Paired 3D Image and Mask Generation,MICCAI
10.1007/978-3-031-43999-5_5,An Explainable Deep Framework: Towards Task-Specific Fusion for Multi-to-One MRI Synthesis,MICCAI
10.1007/978-3-031-43990-2_22,PCMC-T1: Free-Breathing Myocardial T1 Mapping with Physically-Constrained Motion Correction,MICCAI
10.1007/978-3-031-43895-0_43,Frequency Domain Adversarial Training for Robust Volumetric Medical Segmentation,MICCAI
10.1007/978-3-031-43996-4_19,ACT-Net: Anchor-Context Action Detection in Surgery Videos,MICCAI
10.1007/978-3-031-43904-9_74,Distributionally Robust Image Classifiers for Stroke Diagnosis in Accelerated MRI,MICCAI
10.1007/978-3-031-43996-4_22,Learning Expected Appearances for Intraoperative Registration During Neurosurgery,MICCAI
10.1007/978-3-031-43996-4_56,FLIm-Based in Vivo Classification of Residual Cancer in the Surgical Cavity During Transoral Robotic Surgery,MICCAI
10.1007/978-3-031-43990-2_2,Segmentation of Kidney Tumors on Non-Contrast CT Images Using Protuberance Detection Network,MICCAI
10.1007/978-3-031-43987-2_50,Artifact Restoration in Histology Images with Diffusion Probabilistic Models,MICCAI
10.1007/978-3-031-43999-5_52,$\mathrm {H{2}}$GM: A Hierarchical Hypergraph Matching Framework for Brain Landmark Alignment,MICCAI
10.1007/978-3-031-43901-8_40,SwinUNETR-V2: Stronger Swin Transformers with Stagewise Convolutions for 3D Medical Image Segmentation,MICCAI
10.1007/978-3-031-43990-2_13,DMCVR: Morphology-Guided Diffusion Model for 3D Cardiac Volume Reconstruction,MICCAI
10.1007/978-3-031-43993-3_45,A Coupled-Mechanisms Modelling Framework for Neurodegeneration,MICCAI
10.1007/978-3-031-43901-8_20,TransNuSeg: A Lightweight Multi-task Transformer for Nuclei Segmentation,MICCAI
10.1007/978-3-031-43993-3_25,Neural Pre-processing: A Learning Framework for End-to-End Brain MRI Pre-processing,MICCAI
10.1007/978-3-031-43987-2_4,Joint Segmentation and Sub-pixel Localization in Structured Light Laryngoscopy,MICCAI
10.1007/978-3-031-43895-0_42,Physics-Based Decoding Improves Magnetic Resonance Fingerprinting,MICCAI
10.1007/978-3-031-43904-9_55,Self-supervised Learning for Endoscopic Video Analysis,MICCAI
10.1007/978-3-031-43990-2_68,Clustering Disease Trajectories in Contrastive Feature Space for Biomarker Proposal in Age-Related Macular Degeneration,MICCAI
10.1007/978-3-031-43904-9_64,How Does Pruning Impact Long-Tailed Multi-label Medical Image Classifiers?,MICCAI
10.1007/978-3-031-43990-2_65,Revolutionizing Space Health (Swin-FSR): Advancing Super-Resolution of Fundus Images for SANS Visual Assessment Technology,MICCAI
10.1007/978-3-031-43996-4_53,From Mesh Completion to AI Designed Crown,MICCAI
10.1007/978-3-031-43987-2_72,Multi-scope Analysis Driven Hierarchical Graph Transformer for Whole Slide Image Based Cancer Survival Prediction,MICCAI
10.1007/978-3-031-43904-9_47,Diversity-Preserving Chest Radiographs Generation from Reports in One Stage,MICCAI
10.1007/978-3-031-43901-8_72,Conditional Diffusion Models for Weakly Supervised Medical Image Segmentation,MICCAI
10.1007/978-3-031-43999-5_15,DULDA: Dual-Domain Unsupervised Learned Descent Algorithm for PET Image Reconstruction,MICCAI
10.1007/978-3-031-43901-8_2,Devil is in Channels: Contrastive Single Domain Generalization for Medical Image Segmentation,MICCAI
10.1007/978-3-031-43993-3_29,Overall Survival Time Prediction of Glioblastoma on Preoperative MRI Using Lesion Network Mapping,MICCAI
10.1007/978-3-031-43990-2_58,Context-Aware Pseudo-label Refinement for Source-Free Domain Adaptive Fundus Image Segmentation,MICCAI
10.1007/978-3-031-43999-5_1,CDiffMR: Can We Replace the Gaussian Noise with K-Space Undersampling for Fast MRI?,MICCAI
10.1007/978-3-031-43996-4_25,Detecting the Sensing Area of a Laparoscopic Probe in Minimally Invasive Cancer Surgery,MICCAI
10.1007/978-3-031-43999-5_30,Accurate Multi-contrast MRI Super-Resolution via a Dual Cross-Attention Transformer Network,MICCAI
10.1007/978-3-031-43993-3_55,Prompt-Based Grouping Transformer for Nucleus Detection and Classification,MICCAI
10.1007/978-3-031-43990-2_25,Skin Lesion Correspondence Localization in Total Body Photography,MICCAI
10.1007/978-3-031-43987-2_5,A Style Transfer-Based Augmentation Framework for Improving Segmentation and Classification Performance Across Different Sources in Ultrasound Images,MICCAI
10.1007/978-3-031-43898-1_22,Fourier Test-Time Adaptation with Multi-level Consistency for Robust Classification,MICCAI
