doc_name,label1,label2,value
ACN: Adversarial Co-training Network for Brain Tumor Segmentation with Missing Modalities,BRATS,In Figure,True
TransBTS: Multimodal Brain Tumor Segmentation Using Transformer,BRATS,In Abstract,True
TransBTS: Multimodal Brain Tumor Segmentation Using Transformer,BRATS,Elsewhere,True
TransBTS: Multimodal Brain Tumor Segmentation Using Transformer,BRATS,In Method,True
TransBTS: Multimodal Brain Tumor Segmentation Using Transformer,BRATS,In Figure,True
TransBTS: Multimodal Brain Tumor Segmentation Using Transformer,BRATS,In Table,True
Efficient Bayesian Uncertainty Estimation for nnU-Net,ACDC,In Abstract,True
Efficient Bayesian Uncertainty Estimation for nnU-Net,ACDC,In Method,True
Efficient Bayesian Uncertainty Estimation for nnU-Net,ACDC,In Table,True
Efficient Bayesian Uncertainty Estimation for nnU-Net,ACDC,In Footnote,True
Efficient Bayesian Uncertainty Estimation for nnU-Net,M&Ms,In Footnote,True
Factorised Spatial Representation Learning: Application in Semi-supervised Myocardial Segmentation,ACDC,In Abstract,True
Factorised Spatial Representation Learning: Application in Semi-supervised Myocardial Segmentation,ACDC,In Method,True
Factorised Spatial Representation Learning: Application in Semi-supervised Myocardial Segmentation,ACDC,In Figure,True
Factorised Spatial Representation Learning: Application in Semi-supervised Myocardial Segmentation,ACDC,In Table,True
DA-VSR: Domain Adaptable Volumetric Super-Resolution for Medical Images,LIDC-IDRI,Elsewhere,True
Suppressing Poisoning Attacks on Federated Learning for Medical Imaging,Chexpert,In Abstract,True
Suppressing Poisoning Attacks on Federated Learning for Medical Imaging,Chexpert,Elsewhere,True
Suppressing Poisoning Attacks on Federated Learning for Medical Imaging,Chexpert,In Method,True
Suppressing Poisoning Attacks on Federated Learning for Medical Imaging,Chexpert,In Figure,True
Suppressing Poisoning Attacks on Federated Learning for Medical Imaging,Chexpert,In Table,True
A Comprehensive Study of Modern Architectures and Regularization Approaches on CheXpert5000,Chexpert,In Abstract,True
A Comprehensive Study of Modern Architectures and Regularization Approaches on CheXpert5000,Chexpert,Elsewhere,True
A Comprehensive Study of Modern Architectures and Regularization Approaches on CheXpert5000,Chexpert,In Method,True
A Comprehensive Study of Modern Architectures and Regularization Approaches on CheXpert5000,Chexpert,In Figure,True
Online Reflective Learning for Robust Medical Image Segmentation,M&Ms,Elsewhere,True
Online Reflective Learning for Robust Medical Image Segmentation,M&Ms,In Method,True
Online Reflective Learning for Robust Medical Image Segmentation,M&Ms,In Table,True
Multi-task Attention-Based Semi-supervised Learning for Medical Image Segmentation,BRATS,In Method,True
Multi-task Attention-Based Semi-supervised Learning for Medical Image Segmentation,BRATS,Elsewhere,True
Multi-task Attention-Based Semi-supervised Learning for Medical Image Segmentation,BRATS,In Table,True
Hierarchical Probabilistic Gabor and MRF Segmentation of Brain Tumours in MRI Volumes,BRATS,In Abstract,True
Hierarchical Probabilistic Gabor and MRF Segmentation of Brain Tumours in MRI Volumes,BRATS,Elsewhere,True
Hierarchical Probabilistic Gabor and MRF Segmentation of Brain Tumours in MRI Volumes,BRATS,In Method,True
Hierarchical Probabilistic Gabor and MRF Segmentation of Brain Tumours in MRI Volumes,BRATS,In Table,True
Positional Contrastive Learning for Volumetric Medical Image Segmentation,ACDC,Elsewhere,True
Positional Contrastive Learning for Volumetric Medical Image Segmentation,ACDC,In Method,True
Positional Contrastive Learning for Volumetric Medical Image Segmentation,ACDC,In Figure,True
Positional Contrastive Learning for Volumetric Medical Image Segmentation,ACDC,In Table,True
Brain Tumor Segmentation with Missing Modalities via Latent Multi-source Correlation Representation,BRATS,In Abstract,True
Brain Tumor Segmentation with Missing Modalities via Latent Multi-source Correlation Representation,BRATS,In Method,True
Brain Tumor Segmentation with Missing Modalities via Latent Multi-source Correlation Representation,BRATS,Elsewhere,True
Brain Tumor Segmentation with Missing Modalities via Latent Multi-source Correlation Representation,BRATS,In Table,True
Accurate Pulmonary Nodule Detection in Computed Tomography Images Using Deep Convolutional Neural Networks,LIDC-IDRI,In Abstract,True
Accurate Pulmonary Nodule Detection in Computed Tomography Images Using Deep Convolutional Neural Networks,LIDC-IDRI,Elsewhere,True
Accurate Pulmonary Nodule Detection in Computed Tomography Images Using Deep Convolutional Neural Networks,LIDC-IDRI,In Method,True
Accurate Pulmonary Nodule Detection in Computed Tomography Images Using Deep Convolutional Neural Networks,LIDC-IDRI,In Figure,True
Accurate Pulmonary Nodule Detection in Computed Tomography Images Using Deep Convolutional Neural Networks,LIDC-IDRI,In Table,True
nnDetection: A Self-configuring Method for Medical Object Detection,LIDC-IDRI,In Abstract,True
nnDetection: A Self-configuring Method for Medical Object Detection,LIDC-IDRI,Elsewhere,True
nnDetection: A Self-configuring Method for Medical Object Detection,LIDC-IDRI,In Method,True
nnDetection: A Self-configuring Method for Medical Object Detection,LIDC-IDRI,In Figure,True
nnDetection: A Self-configuring Method for Medical Object Detection,PROSTATEx,In Method,True
CLIP-Lung: Textual Knowledge-Guided Lung Nodule Malignancy Prediction,LIDC-IDRI,In Abstract,True
CLIP-Lung: Textual Knowledge-Guided Lung Nodule Malignancy Prediction,LIDC-IDRI,Elsewhere,True
CLIP-Lung: Textual Knowledge-Guided Lung Nodule Malignancy Prediction,LIDC-IDRI,In Method,True
CLIP-Lung: Textual Knowledge-Guided Lung Nodule Malignancy Prediction,LIDC-IDRI,In Table,True
Boosting Connectivity in Retinal Vessel Segmentation via a Recursive Semantics-Guided Network,DRIVE,In Method,True
Boosting Connectivity in Retinal Vessel Segmentation via a Recursive Semantics-Guided Network,DRIVE,In Figure,True
Boosting Connectivity in Retinal Vessel Segmentation via a Recursive Semantics-Guided Network,DRIVE,In Table,True
Structure-Preserving Multi-domain Stain Color Augmentation Using Style-Transfer with Disentangled Representations,CAMELYON,In Method,True
Structure-Preserving Multi-domain Stain Color Augmentation Using Style-Transfer with Disentangled Representations,CAMELYON,Elsewhere,True
Learning Self-calibrated Optic Disc and Cup Segmentation from Multi-rater Annotations,MRNet,In Method,True
Learning Self-calibrated Optic Disc and Cup Segmentation from Multi-rater Annotations,MRNet,In Table,True
A regularization term for slide correlation reduction in whole slide image analysis with deep learning,CAMELYON,In Method,True
Learning to Address Intra-segment Misclassification in Retinal Imaging,DRIVE,In Abstract,True
Learning to Address Intra-segment Misclassification in Retinal Imaging,DRIVE,In Method,True
Learning to Address Intra-segment Misclassification in Retinal Imaging,DRIVE,In Figure,True
Learning to Address Intra-segment Misclassification in Retinal Imaging,DRIVE,In Table,True
Interpretable Medical Image Classification Using Prototype Learning and Privileged Information,LIDC-IDRI,In Abstract,True
Interpretable Medical Image Classification Using Prototype Learning and Privileged Information,LIDC-IDRI,Elsewhere,True
Interpretable Medical Image Classification Using Prototype Learning and Privileged Information,LIDC-IDRI,In Method,True
A Cross Saliency Approach to Asymmetry-Based Tumor Detection,BRATS,In Method,True
A Cross Saliency Approach to Asymmetry-Based Tumor Detection,BRATS,In Figure,True
Negative Evidence Matters in Interpretable Histology Image Classification,CAMELYON,In Abstract,True
Negative Evidence Matters in Interpretable Histology Image Classification,CAMELYON,Elsewhere,True
Negative Evidence Matters in Interpretable Histology Image Classification,CAMELYON,In Method,True
Negative Evidence Matters in Interpretable Histology Image Classification,CAMELYON,In Figure,True
Negative Evidence Matters in Interpretable Histology Image Classification,CAMELYON,In Table,True
Combining Generative Models for Multifocal Glioma Segmentation and Registration,BRATS,In Abstract,True
Combining Generative Models for Multifocal Glioma Segmentation and Registration,BRATS,Elsewhere,True
Combining Generative Models for Multifocal Glioma Segmentation and Registration,BRATS,In Figure,True
Combining Generative Models for Multifocal Glioma Segmentation and Registration,BRATS,In Table,True
Deep Generative Model-Based Quality Control for Cardiac MRI Segmentation,ACDC,In Method,True
Deep Generative Model-Based Quality Control for Cardiac MRI Segmentation,ACDC,In Figure,True
Learning Shape Priors for Robust Cardiac MR Segmentation from Multi-view Images,ACDC,Elsewhere,True
The OOD Blind Spot of Unsupervised Anomaly Detection,BRATS,Elsewhere,True
The OOD Blind Spot of Unsupervised Anomaly Detection,BRATS,In Method,True
The OOD Blind Spot of Unsupervised Anomaly Detection,BRATS,In Figure,True
The OOD Blind Spot of Unsupervised Anomaly Detection,BRATS,In Table,True
Collecting data when missingness is unknown: a method for improving model performance given under-reporting in patient populations,MIMIC,In Method,True
Collecting data when missingness is unknown: a method for improving model performance given under-reporting in patient populations,MIMIC,Elsewhere,True
Collecting data when missingness is unknown: a method for improving model performance given under-reporting in patient populations,MIMIC,In Table,True
Boundary-Aware Fully Convolutional Network for Brain Tumor Segmentation,BRATS,In Abstract,True
Boundary-Aware Fully Convolutional Network for Brain Tumor Segmentation,BRATS,Elsewhere,True
Boundary-Aware Fully Convolutional Network for Brain Tumor Segmentation,BRATS,In Method,True
Boundary-Aware Fully Convolutional Network for Brain Tumor Segmentation,BRATS,In Figure,True
Boundary-Aware Fully Convolutional Network for Brain Tumor Segmentation,BRATS,In Table,True
Improving MRI-based Knee Disorder Diagnosis with Pyramidal Feature Details,MRNet,Elsewhere,True
Improving MRI-based Knee Disorder Diagnosis with Pyramidal Feature Details,MRNet,In Method,True
Improving MRI-based Knee Disorder Diagnosis with Pyramidal Feature Details,MRNet,In Figure,True
Improving MRI-based Knee Disorder Diagnosis with Pyramidal Feature Details,MRNet,In Table,True
mmFormer: Multimodal Medical Transformer for Incomplete Multimodal Learning of Brain Tumor Segmentation,BRATS,In Abstract,True
mmFormer: Multimodal Medical Transformer for Incomplete Multimodal Learning of Brain Tumor Segmentation,BRATS,Elsewhere,True
mmFormer: Multimodal Medical Transformer for Incomplete Multimodal Learning of Brain Tumor Segmentation,BRATS,In Method,True
Adapting Off-the-Shelf Source Segmenter for Target Medical Image Segmentation,BRATS,In Abstract,True
Adapting Off-the-Shelf Source Segmenter for Target Medical Image Segmentation,BRATS,Elsewhere,True
Adapting Off-the-Shelf Source Segmenter for Target Medical Image Segmentation,BRATS,In Method,True
Deep learning-based retinal vessel segmentation with cross-modal evaluation,DRIVE,In Figure,True
Deep learning-based retinal vessel segmentation with cross-modal evaluation,DRIVE,In Table,True
Explaining COVID-19 and Thoracic Pathology Model Predictions by Identifying Informative Input Features,ChestX-Ray14,In Abstract,True
Explaining COVID-19 and Thoracic Pathology Model Predictions by Identifying Informative Input Features,ChestX-Ray14,In Figure,True
Explaining COVID-19 and Thoracic Pathology Model Predictions by Identifying Informative Input Features,ChestX-Ray14,In Table,True
Towards Safe Deep Learning: Accurately Quantifying Biomarker Uncertainty in Neural Network Predictions,BRATS,In Method,True
Towards Semantic Interpretation of Thoracic Disease and COVID-19 Diagnosis Models,Chexpert,In Abstract,True
Towards Semantic Interpretation of Thoracic Disease and COVID-19 Diagnosis Models,Chexpert,Elsewhere,True
Towards Semantic Interpretation of Thoracic Disease and COVID-19 Diagnosis Models,Chexpert,In Method,True
Towards Semantic Interpretation of Thoracic Disease and COVID-19 Diagnosis Models,Chexpert,In Figure,True
Test-Time Image-to-Image Translation Ensembling Improves Out-of-Distribution Generalization in Histopathology,CAMELYON,In Method,True
Test-Time Image-to-Image Translation Ensembling Improves Out-of-Distribution Generalization in Histopathology,CAMELYON,Elsewhere,True
Test-Time Image-to-Image Translation Ensembling Improves Out-of-Distribution Generalization in Histopathology,CAMELYON,In Figure,True
Test-Time Image-to-Image Translation Ensembling Improves Out-of-Distribution Generalization in Histopathology,CAMELYON,In Table,True
Efficient and Phase-Aware Video Super-Resolution for Cardiac MRI,ACDC,In Method,True
TUNA-Net: Task-Oriented UNsupervised Adversarial Network for Disease Recognition in Cross-domain Chest X-rays,ChestX-Ray14,In Method,True
INSIDE: Steering Spatial Attention with Non-imaging Information in CNNs,ACDC,In Abstract,True
INSIDE: Steering Spatial Attention with Non-imaging Information in CNNs,ACDC,Elsewhere,True
INSIDE: Steering Spatial Attention with Non-imaging Information in CNNs,ACDC,In Method,True
INSIDE: Steering Spatial Attention with Non-imaging Information in CNNs,ACDC,In Figure,True
INSIDE: Steering Spatial Attention with Non-imaging Information in CNNs,ACDC,In Table,True
INSIDE: Steering Spatial Attention with Non-imaging Information in CNNs,ACDC,In Footnote,True
3D Dilated Multi-fiber Network for Real-Time Brain Tumor Segmentation in MRI,BRATS,In Abstract,True
3D Dilated Multi-fiber Network for Real-Time Brain Tumor Segmentation in MRI,BRATS,Elsewhere,True
3D Dilated Multi-fiber Network for Real-Time Brain Tumor Segmentation in MRI,BRATS,In Method,True
3D Dilated Multi-fiber Network for Real-Time Brain Tumor Segmentation in MRI,BRATS,In Table,True
Knowledge Distillation from Multi-modal to Mono-modal Segmentation Networks,BRATS,In Abstract,True
Knowledge Distillation from Multi-modal to Mono-modal Segmentation Networks,BRATS,Elsewhere,True
Knowledge Distillation from Multi-modal to Mono-modal Segmentation Networks,BRATS,In Method,True
Group Shift Pointwise Convolution for Volumetric Medical Image Segmentation,BRATS,In Abstract,True
Group Shift Pointwise Convolution for Volumetric Medical Image Segmentation,BRATS,In Method,True
Group Shift Pointwise Convolution for Volumetric Medical Image Segmentation,BRATS,In Table,True
Group Shift Pointwise Convolution for Volumetric Medical Image Segmentation,PROMISE12,In Abstract,True
Group Shift Pointwise Convolution for Volumetric Medical Image Segmentation,PROMISE12,In Method,True
Group Shift Pointwise Convolution for Volumetric Medical Image Segmentation,PROMISE12,In Table,True
Domain Composition and Attention for Unseen-Domain Generalizable Medical Image Segmentation,PROMISE12,In Method,True
Domain-Adaptive 3D Medical Image Synthesis: An Efficient Unsupervised Approach,BRATS,In Method,True
Multimodal Representation Learning via Maximization of Local Mutual Information,Chexpert,In Method,True
Multimodal Representation Learning via Maximization of Local Mutual Information,MIMIC,In Method,True
Biomechanics-Informed Neural Networks for Myocardial Motion Tracking in MRI,ACDC,In Method,True
Biomechanics-Informed Neural Networks for Myocardial Motion Tracking in MRI,ACDC,In Table,True
Is it Possible to Predict MGMT Promoter Methylation from Brain Tumor MRI Scans using Deep Learning Models?,BRATS,In Abstract,True
Is it Possible to Predict MGMT Promoter Methylation from Brain Tumor MRI Scans using Deep Learning Models?,BRATS,In Method,True
VisualCheXbert,Chexpert,Elsewhere,True
VisualCheXbert,Chexpert,In Method,True
VisualCheXbert,Chexpert,In Table,True
VisualCheXbert,MIMIC,In Method,True
VisualCheXbert,MIMIC,In Table,True
Modality-Aware Mutual Learning for Multi-modal Medical Image Segmentation,BRATS,In Abstract,True
Modality-Aware Mutual Learning for Multi-modal Medical Image Segmentation,BRATS,Elsewhere,True
Modality-Aware Mutual Learning for Multi-modal Medical Image Segmentation,BRATS,In Method,True
Evidence Localization for Pathology Images Using Weakly Supervised Learning,CAMELYON,Elsewhere,True
Evidence Localization for Pathology Images Using Weakly Supervised Learning,CAMELYON,In Method,True
Evidence Localization for Pathology Images Using Weakly Supervised Learning,CAMELYON,In Table,True
Evidence Localization for Pathology Images Using Weakly Supervised Learning,CAMELYON,In Footnote,True
3D-UCaps: 3D Capsules Unet for Volumetric Image Segmentation,LIDC-IDRI,In Abstract,True
3D-UCaps: 3D Capsules Unet for Volumetric Image Segmentation,LIDC-IDRI,In Method,True
3D-UCaps: 3D Capsules Unet for Volumetric Image Segmentation,LIDC-IDRI,In Table,True
Reinforcement Learning Driven Intra-modal and Inter-modal Representation Learning for 3D Medical Image Classification,BRATS,In Method,True
Reinforcement Learning Driven Intra-modal and Inter-modal Representation Learning for 3D Medical Image Classification,BRATS,In Table,True
Self-supervised Out-of-distribution Detection for Cardiac CMR Segmentation,Sunnybrook,Elsewhere,True
Self-supervised Out-of-distribution Detection for Cardiac CMR Segmentation,Sunnybrook,In Method,True
Self-supervised Out-of-distribution Detection for Cardiac CMR Segmentation,Sunnybrook,In Table,True
Unseen Disease Detection for Deep Learning Interpretation of Chest X-rays,Chexpert,In Method,True
Robust Non-rigid Registration Through Agent-Based Action Learning,PROMISE12,In Method,True
Robust Non-rigid Registration Through Agent-Based Action Learning,PROMISE12,In Footnote,True
RT-DNAS: Real-Time Constrained Differentiable Neural Architecture Search for 3D Cardiac Cine MRI Segmentation,ACDC,In Abstract,True
RT-DNAS: Real-Time Constrained Differentiable Neural Architecture Search for 3D Cardiac Cine MRI Segmentation,ACDC,Elsewhere,True
RT-DNAS: Real-Time Constrained Differentiable Neural Architecture Search for 3D Cardiac Cine MRI Segmentation,ACDC,In Method,True
CheXseg: Combining Expert Annotations with DNN-generated Saliency Maps for X-ray Segmentation,Chexpert,In Method,True
CheXseg: Combining Expert Annotations with DNN-generated Saliency Maps for X-ray Segmentation,Chexpert,Elsewhere,True
CheXseg: Combining Expert Annotations with DNN-generated Saliency Maps for X-ray Segmentation,Chexpert,In Figure,True
ReMix: A General and Efficient Framework for Multiple Instance Learning Based Whole Slide Image Classification,CAMELYON,Elsewhere,True
ReMix: A General and Efficient Framework for Multiple Instance Learning Based Whole Slide Image Classification,CAMELYON,In Table,True
Addressing Class Imbalance in Semi-supervised Image Segmentation: A Study on Cardiac MRI,ACDC,In Abstract,True
Addressing Class Imbalance in Semi-supervised Image Segmentation: A Study on Cardiac MRI,ACDC,Elsewhere,True
Addressing Class Imbalance in Semi-supervised Image Segmentation: A Study on Cardiac MRI,ACDC,In Method,True
Addressing Class Imbalance in Semi-supervised Image Segmentation: A Study on Cardiac MRI,ACDC,In Figure,True
Addressing Class Imbalance in Semi-supervised Image Segmentation: A Study on Cardiac MRI,ACDC,In Table,True
TEDS-Net: Enforcing Diffeomorphisms in Spatial Transformers to Guarantee Topology Preservation in Segmentations,ACDC,In Figure,True
TEDS-Net: Enforcing Diffeomorphisms in Spatial Transformers to Guarantee Topology Preservation in Segmentations,ACDC,In Footnote,True
Point-Unet: A Context-Aware Point-Based Neural Network for Volumetric Segmentation,BRATS,In Abstract,True
Point-Unet: A Context-Aware Point-Based Neural Network for Volumetric Segmentation,BRATS,Elsewhere,True
Point-Unet: A Context-Aware Point-Based Neural Network for Volumetric Segmentation,BRATS,In Method,True
Point-Unet: A Context-Aware Point-Based Neural Network for Volumetric Segmentation,BRATS,In Table,True
Point-Unet: A Context-Aware Point-Based Neural Network for Volumetric Segmentation,BRATS,In Footnote,True
Scribble2D5: Weakly-Supervised Volumetric Image Segmentation via Scribble Annotations,ACDC,Elsewhere,True
Scribble2D5: Weakly-Supervised Volumetric Image Segmentation via Scribble Annotations,ACDC,In Method,True
Scribble2D5: Weakly-Supervised Volumetric Image Segmentation via Scribble Annotations,ACDC,In Figure,True
Scribble2D5: Weakly-Supervised Volumetric Image Segmentation via Scribble Annotations,ACDC,In Table,True
RV-GAN: Segmenting Retinal Vascular Structure in Fundus Photographs Using a Novel Multi-scale Generative Adversarial Network,DRIVE,In Abstract,True
RV-GAN: Segmenting Retinal Vascular Structure in Fundus Photographs Using a Novel Multi-scale Generative Adversarial Network,DRIVE,Elsewhere,True
RV-GAN: Segmenting Retinal Vascular Structure in Fundus Photographs Using a Novel Multi-scale Generative Adversarial Network,DRIVE,In Method,True
RV-GAN: Segmenting Retinal Vascular Structure in Fundus Photographs Using a Novel Multi-scale Generative Adversarial Network,DRIVE,In Figure,True
RV-GAN: Segmenting Retinal Vascular Structure in Fundus Photographs Using a Novel Multi-scale Generative Adversarial Network,DRIVE,In Table,True
CheXternal,Chexpert,Elsewhere,True
CheXternal,Chexpert,In Method,True
CheXternal,Chexpert,In Figure,True
CheXternal,Chexpert,In Table,True
From Real MRA to Virtual MRA: Towards an Open-Source Framework,DRIVE,In Method,True
Renal Cell Carcinoma Classification from Vascular Morphology,CAMELYON,In Method,True
Distill DSM: Computationally efficient method for segmentation of medical imaging volumes,BRATS,In Abstract,True
Distill DSM: Computationally efficient method for segmentation of medical imaging volumes,BRATS,Elsewhere,True
Distill DSM: Computationally efficient method for segmentation of medical imaging volumes,BRATS,In Method,True
Distill DSM: Computationally efficient method for segmentation of medical imaging volumes,BRATS,In Figure,True
Distill DSM: Computationally efficient method for segmentation of medical imaging volumes,BRATS,In Table,True
Semi-supervised Medical Image Classification with Global Latent Mixing,Chexpert,Elsewhere,True
Semi-supervised Medical Image Classification with Global Latent Mixing,Chexpert,In Method,True
Semi-supervised Medical Image Classification with Global Latent Mixing,Chexpert,In Table,True
Practical uncertainty quantification for brain tumor segmentation,BRATS,In Abstract,True
Practical uncertainty quantification for brain tumor segmentation,BRATS,Elsewhere,True
Practical uncertainty quantification for brain tumor segmentation,BRATS,In Method,True
Deep Retinal Image Understanding,DRIVE,Elsewhere,True
Deep Retinal Image Understanding,DRIVE,In Method,True
Deep Retinal Image Understanding,DRIVE,In Figure,True
MoCo Pretraining Improves Representation and Transferability of Chest X-ray Models,Chexpert,In Method,True
MoCo Pretraining Improves Representation and Transferability of Chest X-ray Models,Chexpert,In Table,True
MoCo Pretraining Improves Representation and Transferability of Chest X-ray Models,Chexpert,Elsewhere,True
Cardiac MRI Segmentation with Strong Anatomical Guarantees,ACDC,Elsewhere,True
Cardiac MRI Segmentation with Strong Anatomical Guarantees,ACDC,In Method,True
Cardiac MRI Segmentation with Strong Anatomical Guarantees,ACDC,In Table,True
A Pixel-Wise Distance Regression Approach for Joint Retinal Optical Disc and Fovea Detection,DRIVE,In Method,True
HAD-Net: A Hierarchical Adversarial Knowledge Distillation Network for Improved Enhanced Tumour Segmentation Without Post-Contrast Images,BRATS,In Abstract,True
HAD-Net: A Hierarchical Adversarial Knowledge Distillation Network for Improved Enhanced Tumour Segmentation Without Post-Contrast Images,BRATS,Elsewhere,True
HAD-Net: A Hierarchical Adversarial Knowledge Distillation Network for Improved Enhanced Tumour Segmentation Without Post-Contrast Images,BRATS,In Method,True
HAD-Net: A Hierarchical Adversarial Knowledge Distillation Network for Improved Enhanced Tumour Segmentation Without Post-Contrast Images,BRATS,In Table,True
Context-Sensitive Spelling Correction of Clinical Text via Conditional Independence,MIMIC,In Abstract,True
Context-Sensitive Spelling Correction of Clinical Text via Conditional Independence,MIMIC,In Method,True
Context-Sensitive Spelling Correction of Clinical Text via Conditional Independence,MIMIC,In Figure,True
Context-Sensitive Spelling Correction of Clinical Text via Conditional Independence,MIMIC,In Table,True
Context-Sensitive Spelling Correction of Clinical Text via Conditional Independence,MIMIC,Elsewhere,True
Adversarial Pseudo Healthy Synthesis Needs Pathology Factorization,BRATS,In Abstract,True
Adversarial Pseudo Healthy Synthesis Needs Pathology Factorization,BRATS,Elsewhere,True
Adversarial Pseudo Healthy Synthesis Needs Pathology Factorization,BRATS,In Method,True
Adversarial Pseudo Healthy Synthesis Needs Pathology Factorization,BRATS,In Figure,True
Adversarial Pseudo Healthy Synthesis Needs Pathology Factorization,BRATS,In Table,True
ET-Net: A Generic Edge-aTtention Guidance Network for Medical Image Segmentation,DRIVE,In Method,True
ET-Net: A Generic Edge-aTtention Guidance Network for Medical Image Segmentation,DRIVE,In Table,True
CT-Realistic Lung Nodule Simulation from 3D Conditional Generative Adversarial Networks for Robust Lung Segmentation,LIDC-IDRI,In Abstract,True
CT-Realistic Lung Nodule Simulation from 3D Conditional Generative Adversarial Networks for Robust Lung Segmentation,LIDC-IDRI,In Method,True
CT-Realistic Lung Nodule Simulation from 3D Conditional Generative Adversarial Networks for Robust Lung Segmentation,LIDC-IDRI,Elsewhere,True
CT-Realistic Lung Nodule Simulation from 3D Conditional Generative Adversarial Networks for Robust Lung Segmentation,LIDC-IDRI,In Figure,True
Semi-supervised Learning by Disentangling and Self-ensembling over Stochastic Latent Space,Chexpert,Elsewhere,True
Semi-supervised Learning by Disentangling and Self-ensembling over Stochastic Latent Space,Chexpert,In Method,True
Weakly Supervised Multiple Instance Learning Histopathological Tumor Segmentation,CAMELYON,Elsewhere,True
Attentive Symmetric Autoencoder for Brain MRI Segmentation,BRATS,In Method,True
Attentive Symmetric Autoencoder for Brain MRI Segmentation,BRATS,In Figure,True
Attentive Symmetric Autoencoder for Brain MRI Segmentation,BRATS,In Table,True
