name,ACDC,sunnybrook,STACOM’11,RVSC,M&Ms,BRATS,PROMISE12,LIDC-IDRI,DRIVE,CBIS-DDSM,Chexpert,ChestX-Ray14,PadChest,MIMIC,VinDr-CXR,PAD-UFES-20,CAMELYON,CADDementia,MRNet,PROSTATEx
TRAKO: Efficient Transmission of Tractography Data for Visualization.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Capturing Shape Information with Multi-scale Topological Loss Terms for 3D Reconstruction.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Discriminative Sparse Connectivity Patterns for Classification of fMRI Data.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dynamic Multi-object Gaussian Process Models.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Webly Supervised Learning for Skin Lesion Classification.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Generative Adversarial Network for Segmentation of Motion Affected Neonatal Brain MRI.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Capturing Single-Cell Phenotypic Variation via Unsupervised Representation Learning.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Progressive and Multi-path Holistically Nested Neural Networks for Pathological Lung Segmentation from CT Images.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SWNet: Surgical Workflow Recognition with Deep Convolutional Network.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
On the Effect of Inter-observer Variability for a Reliable Estimation of Uncertainty of Medical Image Segmentation.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A Continuous Model of Cortical Connectivity.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
White Matter Tracts are Point Clouds: Neuropsychological Score Prediction and Critical Region Localization via Geometric Deep Learning.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A Bayes Hilbert Space for Compartment Model Computing in Diffusion MRI.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Computational Sonography.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Synthesizing Multi-tracer PET Images for Alzheimer’s Disease Patients Using a 3D Unified Anatomy-Aware Cyclic Adversarial Network.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Surgical Skill Assessment via Video Semantic Aggregation.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CLIP-Lung: Textual Knowledge-Guided Lung Nodule Malignancy Prediction.,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Semantic similarity metrics for learned image registration.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Multimodal-GuideNet: Gaze-Probe Bidirectional Guidance in Obstetric Ultrasound Scanning.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
End-to-End Cell Recognition by Point Annotation.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cluster Analysis in Latent Space: Identifying Personalized Aortic Valve Prosthesis Shapes using Deep Representations.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Positional Contrastive Learning for Volumetric Medical Image Segmentation.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Inter Extreme Points Geodesics for End-to-End Weakly Supervised Image Segmentation.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Semi-supervised Cell Detection in Time-Lapse Images Using Temporal Consistency.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A Deep Discontinuity-Preserving Image Registration Network.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Statistical Shape Model to 3D Ultrasound Registration for Spine Interventions Using Enhanced Local Phase Features.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Active Appearance Model Induced Generative Adversarial Network for Controlled Data Augmentation.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Conference on Health, Inference, and Learning (CHIL) 2023.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Difficulty-Aware Glaucoma Classification with Multi-rater Consensus Modeling.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bayesian Tomographic Reconstruction Using Riemannian MCMC.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Alleviating the Incompatibility Between Cross Entropy Loss and Episode Training for Few-Shot Skin Disease Classification.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
PRSNet: Part Relation and Selection Network for Bone Age Assessment.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Nonlinear Regression on Riemannian Manifolds and Its Applications to Neuro-Image Analysis.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Chest X-Ray Report Generation Through Fine-Grained Label Learning.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Unsupervised Anomaly Localization Using Variational Auto-Encoders.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Estimating Patient Specific Templates for Pre-operative and Follow-Up Brain Tumor Registration.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Learning Interclass Relations for Intravenous Contrast Phase Classification in CT.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Correlation via Synthesis: End-to-end Image Generation and Radiogenomic Learning Based on Generative Adversarial Network.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Compressive MR Fingerprinting Reconstruction with Neural Proximal Gradient Iterations.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dual-Stream Pyramid Registration Network.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
U-ReSNet: Ultimate Coupling of Registration and Segmentation with Deep Nets.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Automated Three-Piece Digital Dental Articulation.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Spatiotemporal Manifold Prediction Model for Anterior Vertebral Body Growth Modulation Surgery in Idiopathic Scoliosis.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The 4D Hyperspherical Diffusion Wavelet: A New Method for the Detection of Localized Anatomical Variation.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Siamese Tracking of Cell Behaviour Patterns.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Privacy-preserving and bandwidth-efficient federated learning.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3D Velocity Field and Flow Profile Reconstruction from Arbitrarily Sampled Doppler Ultrasound Data.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A Multi-task Network to Detect Junctions in Retinal Vasculature.,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Enhanced Detection of Fetal Pose in 3D MRI by Deep Reinforcement Learning with Physical Structure Priors on Anatomy.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Segmenting the Uterus in Monocular Laparoscopic Images without Manual Input.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Double Your Views – Exploiting Symmetry in Transmission Imaging.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Motion Corrected 3D Reconstruction of the Fetal Thorax from Prenatal MRI.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Accuracy Estimation for Medical Image Registration Using Regression Forests.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Automated Shape and Texture Analysis for Detection of Osteoarthritis from Radiographs of the Knee.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Multiple Instance Learning for Heterogeneous Images: Training a CNN for Histopathology.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Robust Myelin Quantitative Imaging from Multi-echo T2 MRI Using Edge Preserving Spatial Priors.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
You Should Use Regression to Detect Cells.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CompNet: Complementary Segmentation Network for Brain MRI Extraction.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Searching Collaborative Agents for Multi-plane Localization in 3D Ultrasound.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Spatial Aggregation of Holistically-Nested Networks for Automated Pancreas Segmentation.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A Projection-Based K-space Transformer Network for Undersampled Radial MRI Reconstruction with Limited Training Subjects.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Context-Aware Virtual Adversarial Training for Anatomically-Plausible Segmentation.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Modeling longitudinal dynamics of comorbidities.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Myocardial Segmentation of Contrast Echocardiograms Using Random Forests Guided by Shape Model.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
DRMIME: Differentiable Mutual Information and Matrix Exponential for Multi-Resolution Image Registration.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Adaptable Landmark Localisation: Applying Model Transfer Learning to a Shape Model Matching System.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
An Automated System for Detecting and Measuring Nailfold Capillaries.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Sparse Bayesian Inference of White Matter Fiber Orientations from Compressed Multi-resolution Diffusion MRI.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SEEG Trajectory Planning: Combining Stability Structure and Scale in Vessel Extraction.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Revealing Developmental Regionalization of Infant Cerebral Cortex Based on Multiple Cortical Properties.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Intra-operative Update of Boundary Conditions for Patient-Specific Surgical Simulation.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Probe-Based Rapid Hybrid Hyperspectral and Tissue Surface Imaging Aided by Fully Convolutional Networks.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Y-Net: Joint Segmentation and Classification for Diagnosis of Breast Biopsy Images.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Robust Cell Detection and Segmentation in Histopathological Images Using Sparse Reconstruction and Stacked Denoising Autoencoders.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Latent-Graph Learning for Disease Prediction.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RibSeg Dataset and Strong Point Cloud Baselines for Rib Segmentation from CT Scans.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A Distance-Based Loss for Smooth and Continuous Skin Layer Segmentation in Optoacoustic Images.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Multi-level Multi-task Structured Sparse Learning for Diagnosis of Schizophrenia Disease.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Learning Self-calibrated Optic Disc and Cup Segmentation from Multi-rater Annotations.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CARE: Class Attention to Regions of Lesion for Classification on Imbalanced Data.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Learning Whole-Slide Segmentation from Inexact and Incomplete Labels Using Tissue Graphs.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Interpretable Deep Models for Cardiac Resynchronisation Therapy Response Prediction.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A Spatial Guided Self-supervised Clustering Network for Medical Image Segmentation.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Deep Learning-Based Facial Appearance Simulation Driven by Surgically Planned Craniomaxillofacial Bony Movement.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A 3D Fractal-Based Approach towards Understanding Changes in the Infarcted Heart Microvasculature.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Fast GPU Computation of 3D Isothermal Volumes in the Vicinity of Major Blood Vessels for Multiprobe Cryoablation Simulation.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Self-Loop Uncertainty: A Novel Pseudo-Label for Semi-supervised Medical Image Segmentation.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TractoFormer: A Novel Fiber-Level Whole Brain Tractography Analysis Framework Using Spectral Embedding and Vision Transformers.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Longitudinal Quantitative Assessment of COVID-19 Infection Progression from Chest CTs.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Guided Random Forests for Identification of Key Fetal Anatomy and Image Categorization in Ultrasound Scans.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Developmental Stage Classification of Embryos Using Two-Stream Neural Network with Linear-Chain Conditional Random Field.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Kernel-Regularized ICA for Computing Functional Topography from Resting-State fMRI.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
PRO-TIP: Phantom for RObust Automatic Ultrasound Calibration by TIP Detection.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Deep Nested Level Sets: Fully Automated Segmentation of Cardiac MR Images in Patients with Pulmonary Hypertension.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Automatic Fetal Ultrasound Standard Plane Detection Using Knowledge Transferred Recurrent Neural Networks.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AutoSNAP: Automatically Learning Neural Architectures for Instrument Pose Estimation.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Multimodal Fusion of Brain Networks with Longitudinal Couplings.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Desired-View Controlled Positioning of Angiographic C-arms.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Lesion-Aware Contrastive Representation Learning for Histopathology Whole Slide Images Analysis.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Image-Derived Phenotype Extraction for Genetic Discovery via Unsupervised Deep Learning in CMR Images.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Overfitting of Neural Nets Under Class Imbalance: Analysis and Improvements for Segmentation.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Few-Shot Anomaly Detection for Polyp Frames from Colonoscopy.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Revisiting Contour-Driven and Knowledge-Based Deformable Models: Application to 2D-3D Proximal Femur Reconstruction from X-ray Images.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A Physics-Informed Geometric Learning Model for Pathological Tau Spread in Alzheimer’s Disease.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Nonlinear Regression on Manifolds for Shape Analysis using Intrinsic Bézier Splines.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
rfDemons: Resting fMRI-Based Cortical Surface Registration Using the BrainSync Transform.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Prospective Prediction of Thin-Cap Fibroatheromas from Baseline Virtual Histology Intravascular Ultrasound Data.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AutoFB: Automating Fetal Biometry Estimation from Standard Ultrasound Planes.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Spectral Forests: Learning of Surface Data Application to Cortical Parcellation.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A Novel Multi-relation Regularization Method for Regression and Classification in AD Diagnosis.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CS$$^2$$: A Controllable and Simultaneous Synthesizer of Images and Annotations with Minimal Human Intervention.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Compressed Sensing Dynamic MRI Reconstruction Using GPU-accelerated 3D Convolutional Sparse Coding.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Pose-Based Tremor Classification for Parkinson’s Disease Diagnosis from Video.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Detecting Pancreatic Ductal Adenocarcinoma in Multi-phase CT Scans via Alignment Ensemble.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Multiclass Segmentation as Multitask Learning for Drusen Segmentation in Retinal Optical Coherence Tomography.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cell Detection in Domain Shift Problem Using Pseudo-Cell-Position Heatmap.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FairPrune: Achieving Fairness Through Pruning for Dermatological Disease Diagnosis.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Improved Diagnosis of Systemic Sclerosis Using Nailfold Capillary Flow.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tagged Template Deformation.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Deep Chronnectome Learning via Full Bidirectional Long Short-Term Memory Networks for MCI Diagnosis.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A Generative-Discriminative Basis Learning Framework to Predict Clinical Severity from Resting State Functional MRI Data.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Whole-Body Soft-Tissue Lesion Tracking and Segmentation in Longitudinal CT Imaging Studies.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FedHarmony: Unlearning Scanner Bias with Distributed Data.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CACTUSS: Common Anatomical CT-US Space for US Examinations.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Building Brains: Subvolume Recombination for Data Augmentation in Large Vessel Occlusion Detection.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Fast Reconstruction of Accelerated Dynamic MRI Using Manifold Kernel Regression.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Concurrent Segmentation and Localization for Tracking of Surgical Instruments.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Self-gated Radial MRI for Respiratory Motion Compensation on Hybrid PET MR Systems.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Estimation of High Framerate Digital Subtraction Angiography Sequences at Low Radiation Dose.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
DeepAAA: Clinically Applicable and Generalizable Detection of Abdominal Aortic Aneurysm Using Deep Learning.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3D Steering of a Flexible Needle by Visual Servoing.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Towards IID representation learning and its application on biomedical data.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Visual Deep Learning-Based Explanation for Neuritic Plaques Segmentation in Alzheimer’s Disease Using Weakly Annotated Whole Slide Histopathological Images.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bayesian Pseudo Labels: Expectation Maximization for Robust and Efficient Semi-supervised Segmentation.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
High-quality segmentation of low quality cardiac MR images using k-space artefact correction.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
A Partial Domain Approach to Enable Aortic Flow Simulation Without Turbulent Modeling.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MT-UDA: Towards Unsupervised Cross-modality Medical Image Segmentation with Limited Source Labels.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Abdominal Multi-organ CT Segmentation Using Organ Correlation Graph and Prediction-Based Shape and Location Priors.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Hierarchical Parcellation of the Cerebellum.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RF Ultrasound Distribution-Based Confidence Maps.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Motion-Corrected Super-Resolution Reconstruction for High-Resolution 3D Cardiac Cine MRI.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Employing Visual Analytics to Aid the Design of White Matter Hyperintensity Classifiers.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Extracting the Core Structural Connectivity Network: Guaranteeing Network Connectedness Through a Graph-Theoretical Approach.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HR-CAM: Precise Localization of Pathology Using Multi-level Learning in CNNs.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Diffusion Deformable Model for 4D Temporal Medical Image Generation.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cutting Out the Middleman: Measuring Nuclear Area in Histopathology Slides Without Segmentation.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Deformable Image Registration Based on Similarity-Steered CNN Regression.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Weakly-Supervised Learning-Based Feature Localization for Confocal Laser Endomicroscopy Glioma Images.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
