doi,name,ACDC,sunnybrook,STACOM’11,RVSC,M&Ms,BRATS,PROMISE12,LIDC-IDRI,DRIVE,CBIS-DDSM
None,Robust Multi-Organ Nucleus Segmentation Using a Locally Rotation Invariant Bispectral U-Net.,False,False,False,False,False,False,False,False,False,False
None,Structural Networks for Brain Age Prediction.,False,False,False,False,False,False,False,False,False,False
None,Video-based Computer-aided Laparoscopic Bleeding Management: a Space-time Memory Neural Network with Positional Encoding and Adversarial Domain Adaptation.,False,False,False,False,False,False,False,False,False,False
None,Attention-Guided Prostate Lesion Localization and Grade Group Classification with Multiple Instance Learning.,False,False,False,False,False,False,False,False,False,False
None,Are 2.5D approaches superior to 3D deep networks in whole brain segmentation?,False,False,False,False,False,False,False,False,False,False
None,Is it Possible to Predict MGMT Promoter Methylation from Brain Tumor MRI Scans using Deep Learning Models?,False,False,False,False,False,False,False,False,False,False
None,YAMU: Yet Another Modified U-Net Architecture for Semantic Segmentation.,False,False,False,False,False,False,False,False,False,False
None,Segmentation-Consistent Probabilistic Lesion Counting.,False,False,False,False,False,False,False,False,False,False
None,Survival Analysis for Idiopathic Pulmonary Fibrosis using CT Images and Incomplete Clinical Data.,False,False,False,False,False,False,False,False,False,False
None,Learning Strategies for Contrast-agnostic Segmentation via SynthSeg for Infant MRI data.,False,False,False,False,False,False,False,False,False,False
None,Attention Guided Deep Supervision Model for Prostate Segmentation in Multisite Heterogeneous MRI Data.,False,False,False,False,False,False,False,False,False,False
None,Unsupervised Domain Adaptation for Medical Image Segmentation via Self-Training of Early Features.,False,False,False,False,False,False,False,False,False,False
None,Self-Supervised Representation Learning for High-Content Screening.,False,False,False,False,False,False,False,False,False,False
None,MRI bias field correction with an implicitly trained CNN.,False,False,False,False,False,False,False,False,False,False
None,Speckle and Shadows: Ultrasound-specific Physics-based Data Augmentation for Kidney Segmentation.,False,False,False,False,False,False,False,False,False,False
None,Automatic Segmentation of Head and Neck Tumor: How Powerful Transformers Are?,False,False,False,False,False,False,False,False,False,False
None,MAF-Net: Multi-branch Anchor-Free Detector for Polyp Localization and Classification in Colonoscopy.,False,False,False,False,False,False,False,False,False,False
None,Signal Domain Learning Approach for Optoacoustic Image Reconstruction from Limited View Data.,False,False,False,False,False,False,False,False,False,False
None,CAiD: Context-Aware Instance Discrimination for Self-supervised Learning in Medical Imaging.,False,False,False,False,False,False,False,False,False,False
None,OptTTA: Learnable Test-Time Augmentation for Source-Free Medical Image Segmentation Under Domain Shift.,False,False,False,False,False,False,False,False,False,False
None,Efficient tool segmentation for endoscopic videos in the wild.,False,False,False,False,False,False,False,False,False,False
None,Inference of captions from histopathological patches.,False,False,False,False,False,False,False,False,False,False
None,An Analysis of the Impact of Annotation Errors on the Accuracy of Deep Learning for Cell Segmentation.,False,False,False,False,False,False,False,False,False,False
None,Cell Anomaly Localisation using Structured Uncertainty Prediction Networks.,False,False,False,False,False,False,False,False,False,False
None,MedSelect: Selective Labeling for Medical Image Classification Using Meta-Learning.,False,False,False,False,False,False,False,False,False,False
None,EfficientCellSeg: Efficient Volumetric Cell Segmentation Using Context Aware Pseudocoloring.,False,False,False,False,False,False,False,False,False,False
None,Memory-efficient Segmentation of High-resolution Volumetric MicroCT Images.,False,False,False,False,False,False,False,False,False,False
None,Diffusion Models for Implicit Image Segmentation Ensembles.,False,False,False,False,False,False,False,False,False,False
None,Implicit Neural Representations for Deformable Image Registration.,False,False,False,False,False,False,False,False,False,False
None,Anomaly-Aware 3D Segmentation of Knee Magnetic Resonance Images.,False,False,False,False,False,False,False,False,False,False
None,Towards IID representation learning and its application on biomedical data.,False,False,False,False,False,False,False,False,False,False
None,Preface.,False,False,False,False,False,False,False,False,False,False
None,Learned Half-Quadratic Splitting Network for MR Image Reconstruction.,False,False,False,False,False,False,False,False,False,False
None,Learning Morphological Feature Perturbations for Calibrated Semi-Supervised Segmentation.,False,False,False,False,False,False,False,False,False,False
None,Regularizing Brain Age Prediction via Gated Knowledge Distillation.,False,False,False,False,False,False,False,False,False,False
None,Unsupervised Domain Adaptation through Shape Modeling for Medical Image Segmentation.,False,False,False,False,False,False,False,False,False,False
None,Hierarchical Optimal Transport for Comparing Histopathology Datasets.,False,False,False,False,False,False,False,False,False,False
None,Left Ventricle Contouring in Cardiac Images Based on Deep Reinforcement Learning.,False,False,False,False,False,False,False,False,False,False
None,KeyMorph: Robust Multi-modal Affine Registration via Unsupervised Keypoint Detection.,False,False,False,False,False,False,False,False,False,False
None,Interpretable Prediction of Lung Squamous Cell Carcinoma Recurrence With Self-supervised Learning.,False,False,False,False,False,False,False,False,False,False
None,Region Aware Transformer for Automatic Breast Ultrasound Tumor Segmentation.,False,False,False,False,False,False,False,False,False,False
None,Weakly Supervised Volumetric Segmentation via Self-taught Shape Denoising Model.,False,False,False,False,False,False,False,False,False,False
None,Automated triaging of head MRI examinations using convolutional neural networks.,False,False,False,False,False,False,False,False,False,False
None,Self-Rule to Adapt: Learning Generalized Features from Sparsely-Labeled Data Using Unsupervised Domain Adaptation for Colorectal Cancer Tissue Phenotyping.,False,False,False,False,False,False,False,False,False,False
None,Stroke Lesion Outcome Prediction Based on 4D CT Perfusion Data Using Temporal Convolutional Networks.,False,False,False,False,False,False,False,False,False,False
None,Attention via Scattering Transforms for Segmentation of Small Intravascular Ultrasound Data Sets.,False,False,False,False,False,False,False,False,False,False
None,An MRF-UNet Product of Experts for Image Segmentation.,False,False,False,False,False,False,False,False,False,False
None,Improving Weakly Supervised Lesion Segmentation using Multi-Task Learning.,False,False,False,False,False,False,False,False,False,False
None,Gifsplanation via Latent Shift: A Simple Autoencoder Approach to Counterfactual Generation for Chest X-rays.,False,False,False,False,False,False,False,False,False,False
None,Semantic similarity metrics for learned image registration.,False,False,False,False,False,False,False,False,False,False
None,M-GCN: A Multimodal Graph Convolutional Network to Integrate Functional and Structural Connectomics Data to Predict Multidimensional Phenotypic Characterizations.,False,False,False,False,False,False,False,False,False,False
None,Improving MRI-based Knee Disorder Diagnosis with Pyramidal Feature Details.,False,False,False,False,False,False,False,False,False,False
None,Intensity Correction and Standardization for Electron Microscopy Data.,False,False,False,False,False,False,False,False,False,False
None,Nuc2Vec: Learning Representations of Nuclei in Histopathology Images with Contrastive Loss.,False,False,False,False,False,False,False,False,False,False
None,CheXseg: Combining Expert Annotations with DNN-generated Saliency Maps for X-ray Segmentation.,False,False,False,False,False,False,False,False,False,False
None,Self-supervised Out-of-distribution Detection for Cardiac CMR Segmentation.,False,False,False,False,False,False,False,False,False,False
None,Direct Inference of Cell Positions using Lens-Free Microscopy and Deep Learning.,False,False,False,False,False,False,False,False,False,False
None,Membership Inference Attacks on Deep Regression Models for Neuroimaging.,False,False,False,False,False,False,False,False,False,False
None,Discrete Pseudohealthy Synthesis: Aortic Root Shape Typification and Type Classification with Pathological Prior.,False,False,False,False,False,False,False,False,False,False
None,Untangling the Small Intestine in 3D cine-MRI using Deep Stochastic Tracking.,False,False,False,False,False,False,False,False,False,False
None,The OOD Blind Spot of Unsupervised Anomaly Detection.,False,False,False,False,False,False,False,False,False,False
None,CNN and Deep Sets for End-to-End Whole Slide Image Representation Learning.,False,False,False,False,False,False,False,False,False,False
None,Whole-Body Soft-Tissue Lesion Tracking and Segmentation in Longitudinal CT Imaging Studies.,False,False,False,False,False,False,False,False,False,False
None,Feedback Graph Attention Convolutional Network for MR Images Enhancement by Exploring Self-Similarity Features.,False,False,False,False,False,False,False,False,False,False
None,A Surprisingly Effective Perimeter-based Loss for Medical Image Segmentation.,False,False,False,False,False,False,False,False,False,False
None,Partial transfusion: on the expressive influence of trainable batch norm parameters for transfer learning.,False,False,False,False,False,False,False,False,False,False
None,Beyond pixel-wise supervision for segmentation: A few global shape descriptors might be surprisingly good!,False,False,False,False,False,False,False,False,False,False
None,Feature-based image registration in structured light endoscopy.,False,False,False,False,False,False,False,False,False,False
None,Predicting COVID-19 Lung Infiltrate Progression on Chest Radiographs Using Spatio-temporal LSTM based Encoder-Decoder Network.,False,False,False,False,False,False,False,False,False,False
None,Embedding-based Instance Segmentation in Microscopy.,False,False,False,False,False,False,False,False,False,False
None,Benefits of Linear Conditioning for Segmentation using Metadata.,False,False,False,False,False,False,False,False,False,False
None,Improved model-based deep learning for quantitative susceptibility mapping.,False,False,False,False,False,False,False,False,False,False
None,Weakly-supervised High-resolution Segmentation of Mammography Images for Breast Cancer Diagnosis.,False,False,False,False,False,False,False,False,False,False
None,Distill DSM: Computationally efficient method for segmentation of medical imaging volumes.,False,False,False,False,False,False,False,False,False,False
None,An AI-based Framework for Diagnostic Quality Assessment of Ankle Radiographs.,False,False,False,False,False,False,False,False,False,False
None,Unifying Brain Age Prediction and Age-Conditioned Template Generation with a Deterministic Autoencoder.,False,False,False,False,False,False,False,False,False,False
None,Learning Interclass Relations for Intravenous Contrast Phase Classification in CT.,False,False,False,False,False,False,False,False,False,False
None,EPIC-Survival: End-to-end Part Inferred Clustering for Survival Analysis with Prognostic Stratification Boosting.,False,False,False,False,False,False,False,False,False,False
None,GOAL: Gist-set Online Active Learning for Efficient Chest X-ray Image Annotation.,False,False,False,False,False,False,False,False,False,False
None,Balanced sampling for an object detection problem - application to fetal anatomies detection.,False,False,False,False,False,False,False,False,False,False
None,Explainable Image Quality Analysis of Chest X-Rays.,False,False,False,False,False,False,False,False,False,False
None,Localizing Neurosurgical Instruments Across Domains and in the Wild.,False,False,False,False,False,False,False,False,False,False
None,Unsupervised Brain Anomaly Detection and Segmentation with Transformers.,False,False,False,False,False,True,False,False,False,False
None,Residual learning for 3D motion corrected quantitative MRI: Robust clinical T1 T2 and proton density mapping.,False,False,False,False,False,False,False,False,False,False
None,Image Sequence Generation and Analysis via GRU and Attention for Trachomatous Trichiasis Classification.,False,False,False,False,False,False,False,False,False,False
None,Learning Diffeomorphic and Modality-invariant Registration using B-splines.,False,False,False,False,False,False,False,False,False,False
None,Understanding and Visualizing Generalization in UNets.,False,False,False,False,False,False,False,False,False,False
None,Cluster-to-Conquer: A Framework for End-to-End Multi-Instance Learning for Whole Slide Image Classification.,False,False,False,False,False,False,False,False,False,False
None,Unseen Disease Detection for Deep Learning Interpretation of Chest X-rays.,False,False,False,False,False,False,False,False,False,False
None,Changing the Contrast of Magnetic Resonance Imaging Signals using Deep Learning.,False,False,False,False,False,False,False,False,False,False
None,MoCo Pretraining Improves Representation and Transferability of Chest X-ray Models.,False,False,False,False,False,False,False,False,False,False
None,A Mean-Field Variational Inference Approach to Deep Image Prior for Inverse Problems in Medical Imaging.,False,False,False,False,False,False,False,False,False,False
None,Learning the Latent Heat Diffusion Process through Structural Brain Network from Longitudinal β-Amyloid Data.,False,False,False,False,False,False,False,False,False,False
None,Guided Filter Regularization for Improved Disentanglement of Shape and Appearance in Diffeomorphic Autoencoders.,False,False,False,False,False,False,False,False,False,False
None,HAD-Net: A Hierarchical Adversarial Knowledge Distillation Network for Improved Enhanced Tumour Segmentation Without Post-Contrast Images.,False,False,False,False,False,False,False,False,False,False
None,SWNet: Surgical Workflow Recognition with Deep Convolutional Network.,False,False,False,False,False,False,False,False,False,False
None,A regularization term for slide correlation reduction in whole slide image analysis with deep learning.,False,False,False,False,False,False,False,False,False,False
None,Hybrid optimization between iterative and network fine-tuning reconstructions for fast quantitative susceptibility mapping.,False,False,False,False,False,False,False,False,False,False
None,Automated Labelling using an Attention model for Radiology reports of MRI scans (ALARM).,False,False,False,False,False,False,False,False,False,False
None,4D Semantic Cardiac Magnetic Resonance Image Synthesis on XCAT Anatomical Model.,False,False,False,False,False,False,False,False,False,False
None,Comparing Objective Functions for Segmentation and Detection of Microaneurysms in Retinal Images.,False,False,False,False,False,False,False,False,False,False
None,Automatic Segmentation of Head and Neck Tumors and Nodal Metastases in PET-CT scans.,False,False,False,False,False,False,False,False,False,False
None,Fusing Structural and Functional MRIs using Graph Convolutional Networks for Autism Classification.,False,False,False,False,False,False,False,False,False,False
None,A Cross-Stitch Architecture for Joint Registration and Segmentation in Adaptive Radiotherapy.,False,False,False,False,False,False,False,False,False,False
None,A Learning Strategy for Contrast-agnostic MRI Segmentation.,False,False,False,False,False,False,False,False,False,False
None,Deep learning-based retinal vessel segmentation with cross-modal evaluation.,False,False,False,False,False,False,False,False,False,False
None,Breaking Speed Limits with Simultaneous Ultra-Fast MRI Reconstruction and Tissue Segmentation.,False,False,False,False,False,False,False,False,False,False
None,Fast Mitochondria Detection for Connectomics.,False,False,False,False,False,False,False,False,False,False
None,Addressing The False Negative Problem of Deep Learning MRI Reconstruction Models by Adversarial Attacks and Robust Training.,False,False,False,False,False,False,False,False,False,False
None,On the limits of cross-domain generalization in automated X-ray prediction.,False,False,False,False,False,False,False,False,False,False
None,Uncertainty-Aware Training of Neural Networks for Selective Medical Image Segmentation.,False,False,False,False,False,False,False,False,False,False
None,3D-RADNet: Extracting labels from DICOM metadata for training general medical domain deep 3D convolution neural networks.,False,False,False,False,False,False,False,False,False,False
None,Prostate Cancer Semantic Segmentation by Gleason Score Group in bi-parametric MRI with Self Attention Model on the Peripheral Zone.,False,False,False,False,False,False,False,False,False,False
None,Priority U-Net: Detection of Punctuate White Matter Lesions in Preterm Neonate in 3D Cranial Ultrasonography.,False,False,False,False,False,False,False,False,False,False
None,A deep learning approach to segmentation of the developing cortex in fetal brain MRI with minimal manual labeling.,False,False,False,False,False,False,False,False,False,False
None,Training deep segmentation networks on texture-encoded input: application to neuroimaging of the developing neonatal brain.,False,False,False,False,False,False,False,False,False,False
None,Locating Cephalometric X-Ray Landmarks with Foveated Pyramid Attention.,False,False,False,False,False,False,False,False,False,False
None,Adversarial Domain Adaptation for Cell Segmentation.,False,False,False,False,False,False,False,False,False,False
None,Quantifying the Value of Lateral Views in Deep Learning for Chest X-rays.,False,False,False,False,False,False,False,False,False,False
None,An Auxiliary Task for Learning Nuclei Segmentation in 3D Microscopy Images.,False,False,False,False,False,False,False,False,False,False
None,DIVA: Domain Invariant Variational Autoencoders.,False,False,False,False,False,False,False,False,False,False
None,Feature Disentanglement to Aid Imaging Biomarker Characterization for Genetic Mutations.,False,False,False,False,False,False,False,False,False,False
None,Bounding boxes for weakly supervised segmentation: Global constraints get close to full supervision.,False,False,False,False,False,False,False,False,False,False
None,Skull R-CNN: A CNN-based network for the skull fracture detection.,False,False,False,False,False,False,False,False,False,False
None,Well-Calibrated Regression Uncertainty in Medical Imaging with Deep Learning.,False,False,False,False,False,False,False,False,False,False
None,Continual Learning for Domain Adaptation in Chest X-ray Classification.,False,False,False,False,False,False,False,False,False,False
None,Generating Fundus Fluorescence Angiography Images from Structure Fundus Images Using Generative Adversarial Networks.,False,False,False,False,False,False,False,False,False,False
None,Joint Learning of Vessel Segmentation and Artery/Vein Classification with Post-processing.,False,False,False,False,False,False,False,False,False,False
None,Laplacian pyramid-based complex neural network learning for fast MR imaging.,False,False,False,False,False,False,False,False,False,False
None,Efficient Out-of-Distribution Detection in Digital Pathology Using Multi-Head Convolutional Neural Networks.,False,False,False,False,False,False,False,False,False,False
None,Cascade Dual-branch Deep Neural Networks for Retinal Layer and fluid Segmentation of Optical Coherence Tomography Incorporating Relative Positional Map.,False,False,False,False,False,False,False,False,False,False
None,How Distance Transform Maps Boost Segmentation CNNs: An Empirical Study.,True,False,False,False,False,False,False,False,False,False
None,Siamese Content Loss Networks for Highly Imbalanced Medical Image Segmentation.,False,False,False,False,False,False,False,False,False,False
None,KD-MRI: A knowledge distillation framework for image reconstruction and image restoration in MRI workflow.,True,False,False,False,False,False,False,False,False,False
None,DRMIME: Differentiable Mutual Information and Matrix Exponential for Multi-Resolution Image Registration.,False,False,False,False,False,False,False,False,False,False
None,Deep Reinforcement Learning for Organ Localization in CT.,False,False,False,False,False,False,False,False,False,False
None,End-to-end learning of convolutional neural net and dynamic programming for left ventricle segmentation.,False,False,False,False,False,False,False,False,False,False
None,Siamese Tracking of Cell Behaviour Patterns.,False,False,False,False,False,False,False,False,False,False
None,Multitask radiological modality invariant landmark localization using deep reinforcement learning.,False,False,False,False,False,False,False,False,False,False
None,Towards multi-sequence MR image recovery from undersampled k-space data.,False,False,False,False,False,True,False,False,False,False
None,Mutual information deep regularization for semi-supervised segmentation.,False,False,False,False,False,False,False,False,False,False
None,On Direct Distribution Matching for Adapting Segmentation Networks.,False,False,False,False,False,False,False,False,False,False
None,Deep learning-based parameter mapping for joint relaxation and diffusion tensor MR Fingerprinting.,False,False,False,False,False,False,False,False,False,False
None,Red-GAN: Attacking class imbalance via conditioned generation. Yet another medical imaging perspective.,False,False,False,False,False,False,False,False,False,False
None,PathologyGAN: Learning deep representations of cancer tissue.,False,False,False,False,False,False,False,False,False,False
None,MAC-ReconNet: A Multiple Acquisition Context based Convolutional Neural Network for MR Image Reconstruction using Dynamic Weight Prediction.,False,False,False,False,False,False,False,False,False,False
None,Tensor Networks for Medical Image Classification.,False,False,False,False,False,False,False,False,False,False
None,A Heteroscedastic Uncertainty Model for Decoupling Sources of MRI Image Quality.,False,False,False,False,False,False,False,False,False,False
None,Automatic Diagnosis of Pulmonary Embolism Using an Attention-guided Framework: A Large-scale Study.,False,False,False,False,False,False,False,False,False,False
None,Uncertainty-based Graph Convolutional Networks for Organ Segmentation Refinement.,False,False,False,False,False,False,False,False,False,False
None,Extending Unsupervised Neural Image Compression With Supervised Multitask Learning.,False,False,False,False,False,False,False,False,False,False
None,Knee Injury Detection using MRI with Efficiently-Layered Network (ELNet).,False,False,False,False,False,False,False,False,False,False
None,Domain adaptation model for retinopathy detection from cross-domain OCT images.,False,False,False,False,False,False,False,False,False,False
None,Improving the Ability of Deep Neural Networks to Use Information from Multiple Views in Breast Cancer Screening.,False,False,False,False,False,False,False,False,False,False
None,Beyond Classification: Whole Slide Tissue Histopathology Analysis By End-To-End Part Learning.,False,False,False,False,False,False,False,False,False,False
None,Correlation via Synthesis: End-to-end Image Generation and Radiogenomic Learning Based on Generative Adversarial Network.,False,False,False,False,False,False,False,False,False,False
None,Brain Metastasis Segmentation Network Trained with Robustness to Annotations with Multiple False Negatives.,False,False,False,False,False,False,False,False,False,False
None,An Auto-Encoder Strategy for Adaptive Image Segmentation.,False,False,False,False,False,False,False,False,False,False
None,Bayesian Learning of Probabilistic Dipole Inversion for Quantitative Susceptibility Mapping.,False,False,False,False,False,False,False,False,False,False
None,Direct estimation of fetal head circumference from ultrasound images based on regression CNN.,False,False,False,False,False,False,False,False,False,False
None,SAU-Net: Efficient 3D Spine MRI Segmentation Using Inter-Slice Attention.,False,False,False,False,False,False,False,False,False,False
None,Accurate Detection of Out of Body Segments in Surgical Video using Semi-Supervised Learning.,False,False,False,False,False,False,False,False,False,False
10.1007/978-3-031-16434-7_46,From Images to Probabilistic Anatomical Shapes: A Deep Variational Bottleneck Approach,False,False,False,False,False,False,False,False,False,False
10.1007/978-3-031-16431-6_41,Conditional VAEs for Confound Removal and Normative Modelling of Neurodegenerative Diseases,False,False,False,False,False,False,False,False,False,False
10.1007/978-3-031-16434-7_36,Uncertainty Aware Sampling Framework of Weak-Label Learning for Histology Image Classification,False,False,False,False,False,False,False,False,False,False
10.1007/978-3-031-16452-1_64,Suppressing Poisoning Attacks on Federated Learning for Medical Imaging,False,False,False,False,False,False,False,False,False,False
10.1007/978-3-031-16437-8_36,Self-Ensembling Vision Transformer (SEViT) for Robust Medical Image Classification,False,False,False,False,False,False,False,False,False,False
10.1007/978-3-031-16437-8_62,Hybrid Spatio-Temporal Transformer Network for Predicting Ischemic Stroke Lesion Outcomes from 4D CT Perfusion Imaging,False,False,False,False,False,False,False,False,False,False
10.1007/978-3-031-16431-6_39,Unified Embeddings of Structural and Functional Connectome via a Function-Constrained Structural Graph Variational Auto-Encoder,False,False,False,False,False,False,False,False,False,False
10.1007/978-3-031-16446-0_18,Unsupervised Deep Non-rigid Alignment by Low-Rank Loss and Multi-input Attention,False,False,False,False,False,False,False,False,False,False
10.1007/978-3-031-16434-7_61,DRGen: Domain Generalization in Diabetic Retinopathy Classification,False,False,False,False,False,False,False,False,False,False
10.1007/978-3-031-16437-8_69,Multi-modal Hypergraph Diffusion Network with Dual Prior for Alzheimer Classification,False,False,False,False,False,False,False,False,False,False
10.1007/978-3-031-16440-8_27,BiometryNet: Landmark-based Fetal Biometry Estimation from Standard Ultrasound Planes,False,False,False,False,False,False,False,False,False,False
10.1007/978-3-031-16440-8_31,Class Impression for Data-Free Incremental Learning,False,False,False,False,False,False,False,False,False,False
10.1007/978-3-031-16434-7_54,Unsupervised Lesion-Aware Transfer Learning for Diabetic Retinopathy Grading in Ultra-Wide-Field Fundus Photography,False,False,False,False,False,False,False,False,False,False
10.1007/978-3-031-16452-1_3,Discrepancy-Based Active Learning for Weakly Supervised Bleeding Segmentation in Wireless Capsule Endoscopy Images,False,False,False,False,False,False,False,False,False,False
10.1007/978-3-031-16431-6_64,Consistency-Based Semi-supervised Evidential Active Learning for Diagnostic Radiograph Classification,False,False,False,False,False,False,False,False,False,False
